Uuid,Void/Retire,Name
9f2a8cd0-32c6-4844-8df7-1ac9c4d79943,,Medicina General
14106bb7-dad6-4446-809d-737f4c128ae3,,Pediatría
3c9a7b2d-4e5f-489a-bd78-1f6e3c8d5a01,,Medicina Interna
d8e2f4a0-b5c3-41d7-942a-6c4a1e9f3b22,,Cirugía General
5f7c1d89-ae34-4b8c-a231-0d8e5b6c3f10,,Gineco-Obstetricia
a3b5c7e1-2f4d-46e8-9c12-8d7e4f6a2b09,,Traumatología y Ortopedia
8d2e4f6a-1b3c-49d7-95a2-7f3e8b6c5d10,,Anestesiología
4e6f8d2c-3a5b-495e-9d78-2f4c6a8b1e09,,Cirugía Bucal y Maxilofacial
f5d7e8c3-2a4b-49d6-8e1f-7b3a9c6d2e01,,Enfermades Infecciosas y Tropicales
9c8b7a6d-5e4f-43c1-9a2b-8d3e6f5c2a10,,Salud Mental
2b4d6f8a-1c3e-49d5-93a7-8e5f6b3c2d01,,Radiología e Imagenología
7e5d3c2b-8a9f-41d6-93c4-6b2a1f8e5d07,,Laboratorio Clínico
