Uuid,Void/Retire,Name,Description
b4535251-9183-4175-959e-9ee67dc71e78,,Pharmacologic Drug Class,Clase de medicamentos basada en propiedades farmacológicas en lugar de propiedades terapéuticas
e30d8601-07f8-413a-9d11-cdfbb28196ec,,Units Of Measure,Unidades de medida para la prescripción y dispensación
1edca11a-768a-102f-83f4-12313b04a615,,Workflow,Clase de flujo de trabajo
1edca23c-768a-102f-83f4-12313b04a615,,State,Estado de flujo de trabajo
1edca368-768a-102f-83f4-12313b04a615,,Program,Concepto de programa
896d8b8c-603b-421f-959e-8d305cbeeb82,,Indicator,Un indicador calculado a partir de ciertas medidas
89a98300-062e-4003-8f6f-764ea23ab648,,Organism,Clase de organismos vivos
8caa332c-efe4-4025-8b18-3398328e1323,,Radiology/Imaging Procedure,Un procedimiento o prueba de radiología o imagenología
de359f23-2bfc-4e8d-96d8-25b7526d6070,,Drug Form,Forma de medicamento para prescripción
e2c52f55-c7b4-49f7-9f82-1ffa2fe6023f,,InteractSet,Conjunto de medicamentos que interactúan con el medicamento principal
0dcf23d4-3008-4d8e-b12c-4ec95d1cfd97,,Medical supply,Equipo médico duradero y otros suministros
