Uuid,Concept Numeric uuid,Label,Absolute low,Critical low,Normal low,Normal high,Critical high,Absolute high,Criteria
c3de948e-6737-40de-8ed4-0162b20818af,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito 0 - <6 wks,30.8,35.2,44,62,74.4,93,$patient.getAgeInWeeks() < 6
dce6ab3f-b70f-4127-93ee-15ab303e2de0,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito 6 - <1 yrs,24.5,28,35,55,66,82.5,$patient.getAgeInWeeks() >= 6 && $patient.getAge() < 1
16d28713-1ccb-439f-bf7e-bda702572fa8,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito 1 - <2 yrs,23.8,27.2,34,44,52.8,66,$patient.getAge() >= 1 && $patient.getAge() < 2
3cceb9a9-05e5-45c1-83b4-0dc20a196f16,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito 2 - <6 yrs,23.8,27.2,34,44,52.8,66,$patient.getAge() >= 2 && $patient.getAge() < 6
aef7e0e0-e63b-4fe5-a882-21ec1ac78421,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito 6 - <13 yrs,24.5,28,35,45,54,67.5,$patient.getAge() >= 6 && $patient.getAge() < 13
48e1f6d4-0a0a-436e-83de-27f2e9f54148,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito 13 - <16 yrs,25.2,28.8,36,45,54,67.5,$patient.getAge() >= 13 && $patient.getAge() < 16
938699ca-48a3-4deb-96fc-330d8f250628,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito mujer 16 - <18 yrs,25.2,28.8,36,46,55.2,69,$patient.getAge() >= 16 && $patient.getAge() < 18 && $patient.getGender().equals("F")
27fa0fa0-2928-43b0-8dea-fbf2e7e9b989,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito hombre 16 - <18 yrs,28.7,32.8,41,53,63.6,79.5,$patient.getAge() >= 16 && $patient.getAge() < 18 && $patient.getGender().equals("M")
17f67d14-b890-4e33-9197-1d31161ec147,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito adulto mujer 18 - <60 yrs,25.2,28.8,36,46,55.2,69,$patient.getAge() >= 18 && $patient.getAge() < 60 && $patient.getGender().equals("F")
656e07fa-181c-4390-b81f-38cd2b5f45b7,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito adulto hombre 18 - <60 yrs,28.7,32.8,41,53,63.6,79.5,$patient.getAge() >= 18 && $patient.getAge() < 60 && $patient.getGender().equals("M")
78efd103-b5cd-43e7-bd8f-b0029bed0df8,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito adulto mayor mujer <60 yrs,25.2,28.8,36,65,78,97.5,$patient.getAge() >= 60 && $patient.getGender().equals("F")
a7f8e6ec-df10-415e-8373-cb213169d4a5,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito adulto mayor hombre <60 yrs,21,24,30,45,54,67.5,$patient.getAge() >= 60 && $patient.getGender().equals("M")
5734a32a-ec98-4dbb-94c7-1e994bbe1076,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito gestante 0 - <14 wks,22.4,25.6,32,40,48,60,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() < 14
7f8c35ee-42ad-496f-b563-054e7d027a28,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito gestante 14 - <28 wks,21.7,24.8,31,39,46.8,58.5,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() >= 14 && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() < 28
3ebd90bc-afed-4355-aca1-525b754dd86b,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito gestante 28 - <40 wks,21,24,30,38,45.6,57,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() >= 28 && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() < 42
f0c6d3dc-a0d2-497c-921f-b7266d448fcf,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina 0 - <6 wks,9.45,10.8,13.5,19.5,23.4,29.25,$patient.getAgeInWeeks() < 6
a769e98e-e91f-4d4c-b029-1c66e267f32a,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina 6 - <1 yrs,6.3,8.4,10.5,13.5,16.2,20.25,$patient.getAgeInWeeks() >= 6 && $patient.getAge() < 1
0502ff16-270e-423f-8fa6-95255fdc9b19,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina 1 - <2 yrs,7.7,8.8,11,13.5,16.2,20.25,$patient.getAge() >= 1 && $patient.getAge() < 2
