Uuid,Concept Numeric uuid,Label,Absolute low,Critical low,Normal low,Normal high,Critical high,Absolute high,Criteria
189a0af4-515b-443f-89c4-840543ff5945,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion sistolica 0 - <6 wks,60,65,70,100,105,200,$patient.getAgeInWeeks() < 6
f0f10f1e-5a22-4f9f-bf2b-1068733b14c9,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion sistolica 6 - <1 yrs,70,75,84,106,110,200,$patient.getAgeInWeeks() >= 6 && $patient.getAge() < 1
a8c47244-3c25-4e9e-8ca4-44823bc75818,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion sistolica 1 - <2 yrs,75,80,98,106,110,200,$patient.getAge() >= 1 && $patient.getAge() < 2
b5484d45-7e98-4bd9-85e9-68d20a87e06c,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion sistolica 2 - <6 yrs,80,85,99,112,115,200,$patient.getAge() >= 2 && $patient.getAge() < 6
06eac7ee-325f-4513-8eaa-78e3d0b1b79e,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion sistolica 6 - <13 yrs,85,90,104,124,130,200,$patient.getAge() >= 6 && $patient.getAge() < 13
7f04017e-554e-4030-b5c2-9e9faf9e324e,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion sistolica 13 - <16 yrs,90,95,118,132,135,200,$patient.getAge() >= 13 && $patient.getAge() < 16
15e55d98-325a-494e-92d3-774a9a6c3203,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion sistolica 16 - <18 yrs,90,95,110,140,145,200,$patient.getAge() >= 16 && $patient.getAge() < 18
3757097f-564d-41e7-a19f-d04c063ee93b,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion sistolica adulto 18 - <60 yrs,100,105,110,139,145,200,$patient.getAge() >= 18 && $patient.getAge() < 60
964adff7-7f53-45a1-8dc2-96e6191b480a,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion sistolica adulto mayor <60 yrs,105,110,110,145,150,200,$patient.getAge() >= 60
c9a5c541-0988-4eba-86fd-9d21286289b6,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion sistolica gestante 0 - <14 wks,85,90,90,120,130,200,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() < 14
5268df58-89f1-4075-b4b8-ec6c63999d95,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion sistolica gestante 14 - <28 wks,85,90,90,130,135,200,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() >= 14 && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() < 28
dd655794-4f11-4fef-9746-66e3dd95eb30,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion sistolica gestante 28 - <40 wks,90,95,95,135,140,200,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() >= 28 && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() < 40
3088ccd3-4bd7-40f0-be42-b3adc9f4da27,5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion diastolica 0 - <6 wks,45,50,50,68,75,160,$patient.getAgeInWeeks() < 6
36c4d4bf-21c5-4756-81bb-4d8a69be7932,5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion diastolica 6 - <1 yrs,50,55,56,70,75,160,$patient.getAgeInWeeks() >= 6 && $patient.getAge() < 1
1d65b694-7775-45bb-ac2b-7df4c9741a77,5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion diastolica 1 - <2 yrs,50,55,58,70,75,160,$patient.getAge() >= 1 && $patient.getAge() < 2
ba73b1b0-a3cd-45f1-aea7-04244cafca73,5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion diastolica 2 - <6 yrs,55,60,64,70,75,160,$patient.getAge() >= 2 && $patient.getAge() < 6
d21ae1fe-c2b4-4550-8476-36c8c00ed941,5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion diastolica 6 - <13 yrs,60,64,64,86,90,160,$patient.getAge() >= 6 && $patient.getAge() < 13
3f68f963-8157-462c-ae21-76194b4bef04,5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion diastolica 13 - <16 yrs,65,68,70,82,85,160,$patient.getAge() >= 13 && $patient.getAge() < 16
e441d565-6755-4470-9f13-dfbcffff957d,5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion diastolica 16 - <18 yrs,65,68,70,90,95,160,$patient.getAge() >= 16 && $patient.getAge() < 18
01818314-0773-40d7-b97f-9bd01385e41f,5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion diastolica adulto 18 - <60 yrs,60,65,70,89,95,160,$patient.getAge() >= 18 && $patient.getAge() < 60
bbc21209-bf18-484c-af6f-0cd49b26e990,5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion diastolica adulto mayor <60 yrs,60,65,70,90,95,160,$patient.getAge() >= 60
20546614-0af2-4645-8c3b-194edff969ed,5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion diastolica gestante 0 - <14 wks,55,58,60,80,85,160,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() < 14
3c0be589-0ac4-4006-9787-192f19abd823,5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion diastolica gestante 14 - <28 wks,55,60,60,85,90,160,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() >= 14 && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() < 28
19d7386a-8077-4d22-8f39-a43ab1808f7d,5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Presion diastolica gestante 28 - <40 wks,60,65,65,85,90,160,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() >= 28 && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() < 40
a10aa1fa-32a2-4e00-9c1f-5163ac7e845e,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Frecuencia respiratoria 0 - <6 wks,37,38,40,45,47,50,$patient.getAgeInWeeks() < 6
db63c071-c85f-42ac-be0a-3845e3d319be,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Frecuencia respiratoria 6 - <1 yrs,17,18,20,30,32,50,$patient.getAgeInWeeks() >= 6 && $patient.getAge() < 1
09429a5f-5e77-4a91-9221-1617e7c34d17,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Frecuencia respiratoria 1 - <2 yrs,17,18,20,30,32,50,$patient.getAge() >= 1 && $patient.getAge() < 2
88f10e9b-4ef6-4f66-a785-e995ad9aaf95,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Frecuencia respiratoria 2 - <6 yrs,17,18,20,30,32,50,$patient.getAge() >= 2 && $patient.getAge() < 6
3df10ee7-71ea-41c0-ad1e-8c75e133c2f9,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Frecuencia respiratoria 6 - <13 yrs,9,10,12,20,22,50,$patient.getAge() >= 6 && $patient.getAge() < 13
4898db71-1019-4fd1-933e-7ef19617b060,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Frecuencia respiratoria 13 - <16 yrs,9,10,12,20,22,50,$patient.getAge() >= 13 && $patient.getAge() < 16
8b014803-80e0-42ac-a8c8-905296a34b0f,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Frecuencia respiratoria 16 - <18 yrs,9,10,12,20,22,50,$patient.getAge() >= 16 && $patient.getAge() < 18
4b5fe974-2265-43b0-842a-a76334f7e799,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Frecuencia respiratoria adulto 18 - <60 yrs,9,10,12,20,22,50,$patient.getAge() >= 18 && $patient.getAge() < 60
a49f0b0c-5823-468e-9ab2-c0a651a7b596,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Frecuencia respiratoria adulto mayor <60 yrs,9,10,12,22,24,50,$patient.getAge() >= 60
58717f88-d404-470c-86df-e26d91187ea0,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Frecuencia respiratoria gestante 0 - <14 wks,9,10,12,20,22,50,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() < 14
