uuid,Void/Retire,Fully specified name:en,Description:en,Data class,Data type,Answers,Members,Same as mappings,Absolute high,Critical high,Normal high,Absolue low,Critical low,Normal low,Units,Display precision,Allow decimals
a8a65d5a-1350-11df-a1f1-0026b9348838,,"SYSTOLIC","A patient's systolic blood pressure measurement (taken with a manual cuff in either a sitting or standing position)",Finding,Numeric,,,MCL/CIEL: 5085;local: 5085,,,,,,,,,,
a8a65e36-1350-11df-a1f1-0026b9348838,,"DIASTOLIC","A patient&#39;s diastolic blood pressure measurement (taken with a manual cuff in either a sitting or standing position)",Finding,Numeric,,,MCL/CIEL: 5086;local: 5086,,,,,,,,,,
a8a65f12-1350-11df-a1f1-0026b9348838,,"PULSE","Patient pulse rate, as measured with a peripheral oximeter.",Finding,Numeric,,,MCL/CIEL: 5087;local: 5087,,,,,,,,,,
a8a65fee-1350-11df-a1f1-0026b9348838,,"TEMPERATURE (C)","Patient's temperature in degrees centigrade.",Finding,Numeric,,,local: 5088;MCL/CIEL: 5088,,,,,,,,,,
a8a660ca-1350-11df-a1f1-0026b9348838,,"WEIGHT (KG)","Patient's weight in kilograms.",Finding,Numeric,,,local: 5089;MCL/CIEL: 5089,,,,,,,,,,
a8a6619c-1350-11df-a1f1-0026b9348838,,"HEIGHT (CM)","Patient&amp;#39;s height in centimeters.",Finding,Numeric,,,local: 5090;MCL/CIEL: 5090,,,,,,,,,,
a8a66354-1350-11df-a1f1-0026b9348838,,"BLOOD OXYGEN SATURATION","Oxygen saturation, as measured from a peripheral oximeter.",Finding,Numeric,,,local: 5092;MCL/CIEL: 5092,,,,,,,,,,
a89c60c0-1350-11df-a1f1-0026b9348838,,"BODY MASS INDEX","Body Mass Index (BMI) is a relationship between weight and height that is associated with body fat and health risk. The equation is BMI = body weight in kilograms/height in meters squared.The equation is BMI = body weight in kilograms/height in meters squared.",Finding,Numeric,,,local: 1342;MCL/CIEL: 1342,,,,,,,,,,
a89c6188-1350-11df-a1f1-0026b9348838,,"MID-UPPER ARM CIRCUMFERENCE","MUAC is the circumference of the left upper arm, measured at the mid-point between the tip of the shoulder and the tip of the elbow.  MUAC is useful for the assessment of nutritional status.",Finding,Numeric,,,MCL/CIEL: 1343;local: 1343,,,,,,,,,,
a8a007a2-1350-11df-a1f1-0026b9348838,,"FETAL HEART BEAT","Fetus heart beat, as measured with a Doppler instrument.",Test,Numeric,,,MCL/CIEL: 1440;local: 1857,,,,,,,,,,
a8a005fe-1350-11df-a1f1-0026b9348838,,"FUNDAL HEIGHT","Fundal height, or MacDonald's rule (Cm of fundal height = weeks gestation), is a measure of the size of the uterus used to assess fetal growth and development. It is measured from the top of the pubic bone to the top of the uterus in centimeters. It should match the fetus' gestational age in weeks within 1 to 3 cm, e.g., a pregnant woman's uterus at 22 weeks should measure 19 to 25 cm.",Test,Numeric,,,local: 1855;MCL/CIEL: 1439,,,,,,,,,,
a89ebec4-1350-11df-a1f1-0026b9348838,,"PARENT","A father and/or a mother.",Misc,N/A,,,MCL/CIEL: 1527;local: 1672,,,,,,,,,,
a8a17772-1350-11df-a1f1-0026b9348838,,"AUNT","Family member",Misc,N/A,,,local: 2042;MCL/CIEL: 975,,,,,,,,,,
a898c3e8-1350-11df-a1f1-0026b9348838,,"UNCLE","Family member.",Misc,N/A,,,,,,,,,,,,,
a898c32a-1350-11df-a1f1-0026b9348838,,"GRANDPARENT","Family member.",Misc,N/A,,,MCL/CIEL: 973;local: 973,,,,,,,,,,
a898c262-1350-11df-a1f1-0026b9348838,,"SIBLING","Family member.",Misc,N/A,,,MCL/CIEL: 972;local: 972,,,,,,,,,,
a8aaf3e2-1350-11df-a1f1-0026b9348838,,"OTHER NON-CODED","A generic, descriptive answer which is a handwritten, non-coded response to a question.",Misc,N/A,,,MCL/CIEL: 5622;local: 5622,,,,,,,,,,
a8a35b28-1350-11df-a1f1-0026b9348838,,"FOSTER PARENT","A person who acts as parent and guardian for a child in place of the child's natural parents but without legally adopting the child",Misc,N/A,,,MCL/CIEL: 159894;local: 2179,,,,,,,,,,
cdc577ea-fb94-4e51-86b9-00336560c0e9,,"SLEEP ARRANGMENT","Person and/or location in which the person is sleeping at night.",Question,Coded,a8aaf3e2-1350-11df-a1f1-0026b9348838;a89ebec4-1350-11df-a1f1-0026b9348838;a8a17772-1350-11df-a1f1-0026b9348838;a898c3e8-1350-11df-a1f1-0026b9348838;a898c32a-1350-11df-a1f1-0026b9348838;a898c262-1350-11df-a1f1-0026b9348838;a8a35b28-1350-11df-a1f1-0026b9348838;a89ebc80-1350-11df-a1f1-0026b9348838;a8aaf07c-1350-11df-a1f1-0026b9348838;0dde8db3-0491-4bbf-8dfb-17a3b0a7aeb6;08682d9d-96e0-467a-842b-3e53d1b3961d;7b5a5875-2808-4142-b1da-c832df3a2f18;a89ebd3e-1350-11df-a1f1-0026b9348838,,,,,,,,,,,,
a899b35c-1350-11df-a1f1-0026b9348838,,"YES","Generic answer to a question.",Misc,N/A,,,local: 1065;MCL/CIEL: 1065,,,,,,,,,,
