uuid,Void/Retire,Fully specified name:en,Description:en,Data class,Data type,Answers,Members,Same as mappings,Absolute high,Critical high,Normal high,Absolue low,Critical low,Normal low,Units,Display precision,Allow decimals
a898c56e-1350-11df-a1f1-0026b9348838,,"HOSPITALIZED SINCE LAST VISIT","Question on encounter form:  "Has the patient been hospitalized since last visit?"",Question,Boolean,,,local: 976;MCL/CIEL: 976,,,,,,,,,,
a89c24fc-1350-11df-a1f1-0026b9348838,,"MOI TEACHING AND REFERRAL HOSPITAL","The Moi Teaching and Referral Hospital (MTRH) started as a small cottage hospital in 1917 with a sixty-bed capacity, and evolved into a fully-fledged District Hospital.",Misc,N/A,,,local: 1274;MCL/CIEL: 1274,,,,,,,,,,
a89c25d8-1350-11df-a1f1-0026b9348838,,"HEALTH CENTRE HOSPITALS","These are medium sized units which cater for a population of about 80,000 people. A few are owned by mission hospitals. They are managed and run by Clinical officers who are the team leaders.",Misc,N/A,,,local: 1275;MCL/CIEL: 1275,,,,,,,,,,
a8aaf3e2-1350-11df-a1f1-0026b9348838,,"OTHER NON-CODED","A generic, descriptive answer which is a handwritten, non-coded response to a question.",Misc,N/A,,,MCL/CIEL: 5622;local: 5622,,,,,,,,,,
a89c2420-1350-11df-a1f1-0026b9348838,,"PATIENT HOSPITALIZED","Question on encounter form.  Answer is location of hospital patient received or will receive care at.",Question,Coded,a89c24fc-1350-11df-a1f1-0026b9348838;a89c25d8-1350-11df-a1f1-0026b9348838;a8aaf3e2-1350-11df-a1f1-0026b9348838,,MCL/CIEL: 1273;local: 1273,,,,,,,,,,
a8a07a48-1350-11df-a1f1-0026b9348838,,"ADMISSION DIAGNOSIS","Patient's admission diagnosis for hospital stay.",Diagnosis,Coded,,,,,,,,,,,,,
a8a06fc6-1350-11df-a1f1-0026b9348838,,"FREETEXT GENERAL","This is a freetext field for general use.  It should be tied to another concept as a child.",Question,Text,,,MCL/CIEL: 160632,,,,,,,,,,
a8a003a6-1350-11df-a1f1-0026b9348838,,"HOSPITALIZATION SINCE LAST VISIT, DETAILED","A concept set for storing patient's hospitalization since last visit.",ConvSet,N/A,,a898c56e-1350-11df-a1f1-0026b9348838;a89c2420-1350-11df-a1f1-0026b9348838;a8a07a48-1350-11df-a1f1-0026b9348838;a8a06fc6-1350-11df-a1f1-0026b9348838,,,,,,,,,,,
a899b35c-1350-11df-a1f1-0026b9348838,,"YES","Generic answer to a question.",Misc,N/A,,,local: 1065;MCL/CIEL: 1065,,,,,,,,,,
a899b42e-1350-11df-a1f1-0026b9348838,,"NO","Generic answer to a question.",Misc,N/A,,,MCL/CIEL: 1066;local: 1066,,,,,,,,,,
7ccac7e4-f399-48b9-b2c7-944b98ec53b1,,"SICKLE CELL DISEASE","Sickle-cell disease (SCD), or sickle-cell anaemia (or anemia; SCA) or drepanocytosis, is an autosomal recessive genetic blood disorder, with overdominance, characterized by red blood cells that assume an abnormal, rigid, sickle shape.",Diagnosis,N/A,,,MCL/CIEL: 117703,,,,,,,,,,
a893436e-1350-11df-a1f1-0026b9348838,,"DIABETES MELLITUS","A variable disorder of carbohydrate metabolism caused by a combination of hereditary and environmental factors and usually characterized by inadequate secretion or utilization of insulin, by excessive urine production, by excessive amounts of sugar in the blood and urine, and by thirst, hunger, and loss of weight.",Diagnosis,N/A,,,local: 175;MCL/CIEL: 119481,,,,,,,,,,
a877ca58-1350-11df-a1f1-0026b9348838,,"ASTHMA","A chronic respiratory disease, arising from allergies or inflammation, that is characterized by sudden recurring attacks of labored breathing, chest constriction, and coughing.",Diagnosis,N/A,,,,,,,,,,,,,
a8a68e7e-1350-11df-a1f1-0026b9348838,,"DEMENTIA","Deterioration of intellectual faculties, such as memory, concentration, and judgment, resulting from an organic disease or a disorder of the brain. It is sometimes accompanied by emotional disturbance and personality changes.",Diagnosis,N/A,,,MCL/CIEL: 119566;local: 5136,,,,,,,,,,
a8955d7a-1350-11df-a1f1-0026b9348838,,"DEMENTIA, SENILE","A mental disorder of old age especially of the degenerative type associated with Alzheimer's disease.",Diagnosis,N/A,,,,,,,,,,,,,
a8935fde-1350-11df-a1f1-0026b9348838,,"DEPRESSION","Affective disorder with anhedonia, melancholia, psychomotor retardation.",Diagnosis,N/A,,,local: 207;MCL/CIEL: 119537,,,,,,,,,,
a89369fc-1350-11df-a1f1-0026b9348838,,"PSYCHOSIS","A severe mental disorder, with or without organic damage, characterized by derangement of personality and loss of contact with reality and causing deterioration of normal social functioning.",Diagnosis,N/A,,,MCL/CIEL: 113517,,,,,,,,,,
a89546f0-1350-11df-a1f1-0026b9348838,,"SCHIZOPHRENIA","A psychotic disorder characterized by loss of contact with the environment, by noticeable deterioration in the level of functioning in everyday life, and by disintegration of personality expressed as disorder of feeling, thought (as in hallucinations and delusions), and conduct.",Diagnosis,N/A,,,,,,,,,,,,,
a8988f4a-1350-11df-a1f1-0026b9348838,,"DEPRESSIVE EPISODE","Depressive episode unspecified (ICD10 terminology)",Diagnosis,Coded,,,,,,,,,,,,,
a890b810-1350-11df-a1f1-0026b9348838,,"MENTAL DISORDERS","Unspecified disorders of cognition (thinking ability) and/or emotions.  Any of various conditions characterized by impairment of an individual's normal cognitive, emotional, or behavioral functioning, and caused by social, psychological, biochemical, genetic, or other factors, such as infection or head trauma.",ConvSet,N/A,,a8a68e7e-1350-11df-a1f1-0026b9348838;a8955d7a-1350-11df-a1f1-0026b9348838;a8935fde-1350-11df-a1f1-0026b9348838;a89369fc-1350-11df-a1f1-0026b9348838;a89546f0-1350-11df-a1f1-0026b9348838;a8988f4a-1350-11df-a1f1-0026b9348838,local: 77;MCL/CIEL: 77,,,,,,,,,,
acdceb9b-4b84-4e9c-bba4-eaf486b3b4b5,,"CANCER","Cancer is the uncontrolled growth of abnormal cells in the body. ",Diagnosis,N/A,,,,,,,,,,,,,
a8933270-1350-11df-a1f1-0026b9348838,,"EPILEPSY","Any of various neurological disorders characterized by sudden recurring attacks of motor, sensory, or psychic malfunction with or without loss of consciousness or convulsive seizures.",Diagnosis,N/A,,,,,,,,,,,,,
a8936bb4-1350-11df-a1f1-0026b9348838,,"RHEUMATIC HEART DISEASE","Chronic degenerative changes in the heart due to rheumatic fever.",Diagnosis,N/A,,,,,,,,,,,,,
a8983f22-1350-11df-a1f1-0026b9348838,,"HUMAN IMMUNODEFICIENCY VIRUS","The virus that causes the acquired immune deficiency syndrome (AIDS).",Diagnosis,N/A,,,,,,,,,,,,,
a8935f0c-1350-11df-a1f1-0026b9348838,,"SEIZURE","Epileptic seizure of unspecified type.",Diagnosis,N/A,,,local: 206;MCL/CIEL: 206,,,,,,,,,,
a890a96a-1350-11df-a1f1-0026b9348838,,"TUBERCULOSIS","An infection with the bacteria mycobacterium tuberculosis, site not specified.",Diagnosis,N/A,,,MCL/CIEL: 112141;local: 58,,,,,,,,,,
a890b126-1350-11df-a1f1-0026b9348838,,"MALNUTRITION","Inadequate oral intake of unspecified nutrients (eg, calories, protein, vitamins, etc.)",Diagnosis,N/A,,,,,,,,,,,,,
a8934292-1350-11df-a1f1-0026b9348838,,"SEXUALLY TRANSMITTED INFECTION","Other predominantly sexually transmitted diseases, not elsewhere classified.",Diagnosis,N/A,,,,,,,,,,,,,
a8986880-1350-11df-a1f1-0026b9348838,,"HYPERTENSION","Abnormally high arterial blood pressure.",Diagnosis,N/A,,,MCL/CIEL: 117399,,,,,,,,,,
a8908ed0-1350-11df-a1f1-0026b9348838,,"HEPATITIS B","Liver infection with hepatitis B virus ("serum hepatitis").",Diagnosis,N/A,,,MCL/CIEL: 111759;local: 27,,,,,,,,,,
a8a058ce-1350-11df-a1f1-0026b9348838,,"RENAL FAILURE","Renal failure or kidney failure is a situation in which the kidneys fail to function adequately.",Finding,N/A,,,local: 1885;MCL/CIEL: 113338,,,,,,,,,,
