Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class ,	Data type
23c6d03e-e535-4421-a686-3e247813e398,,General Illness,General Illness or Systemic Disease,"Any relevant systemic illness (e.g., diabetes, hypertension, migraine)",Symptom/Finding,Text
1efb9131-f95d-4f9f-8ab9-fb6ad4acd947,,Medication,Medication,,Symptom/Finding,Text
52234465-dea6-4b04-b350-abc8f35443a4,,Last Ophtamological Visit,Last Opht Visit,,Symptom/Finding,Date
6ff05e8a-7821-4469-bfb4-4af5ab892a02,,Wears Glasses Since,Glasses Since,,Symptom/Finding,Date
2a920c5c-31c6-4acd-b805-69bd2dd58fa7,,Blurred near vision OS,Blurred near vision,Difficulty seeing objects close-up (e.g. reading),Symptom/Finding,Boolean
ddac7f87-2853-4f65-9b6a-4639b1a69243,,Blurred distance vision OS,Blurred distance vision,Difficulty seeing far away (e.g. driving),Symptom/Finding,Boolean
64939337-b6d6-49b5-b938-f088b527db53,,Eye irritation OS, foreign-body sensation,Itching burning,Symptom/Finding,Boolean
4bdb77da-90d1-4034-9e59-dcc23d847c16,,Floaters OS,Floaters,Spots - Threads or cobwebs moving in field of vision - Floaters,Symptom/Finding,Boolean
3651946e-a426-4f72-b87b-4a6f15f0fbe7,,Flashes of light OS,Flashes of light,Brief flashes or lightning streaks in vision,Symptom/Finding,Boolean
54ae8727-d0d5-4c50-bd59-1b8879e76362,,Dry eye sensation OS,Dry eye,Feeling of grittiness or dryness,Symptom/Finding,Boolean
b6e5220a-8b4f-47f5-80eb-2a942b278e3b,,Eye pain OS,Eye pain,Pain in or around the eye,Symptom/Finding,Boolean
e052bab3-6c10-40bd-bee9-ad1429ded8c2,,Watery eyes OS,Watery eyes,Excessive tearing or watering,Symptom/Finding,Boolean
e6303a57-a037-4bb8-b648-76fbc5be540d,,Red eye OS,Red eye,Redness or bloodshot appearance,Symptom/Finding,Boolean
a2f5534d-2054-438d-933d-0d49f1288e51,,Blurred near vision OD,Blurred near vision,Difficulty seeing objects close-up (e.g. reading),Symptom/Finding,Boolean
9b00a8a3-467d-4a91-a532-be4caa672ab4,,Blurred distance vision OD,Blurred distance vision,Difficulty seeing far away (e.g. driving),Symptom/Finding,Boolean
f03cc9ab-f38e-4ca9-a239-e0e04895588a,,Eye irritation OD, foreign-body sensation,Itching burning,Symptom/Finding,Boolean
