Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:km,Data class,Data Type,Members,_version:1,_order:500
49ea1422-dfca-4b6d-b8d5-e8688f33d780,,,Metformin,Metformin,Drug,N/A,,,
98a3d43a-1a0e-4f92-809b-894d5833cc1f,,,Glibenclamide+Gliclazide,Glibenclamide+Gliclazide,Drug,N/A,,,
39f9ad3a-88f4-400d-a854-c2433dacbb91,,,Insulin (Long-acting),Insulin (Long-acting),Drug,N/A,,,
ad0a4f7f-cb96-4b99-b2cf-52fae54f442a,,,Insulin (Rapid acting),Insulin (Rapid acting),Drug,N/A,,,
2c18c145-faad-41ba-99e2-4547a0ca05aa,,,Insulin (Mixed),Insulin (Mixed),Drug,N/A,,,
691ebd60-f916-4f9e-990e-8cc21420c6d9,,,Simvastatin,Simvastatin,Drug,N/A,,,
54b53e46-def0-4aa1-b8ff-2728e377c0b3,,,Fenofibrate,Fenofibrate,Drug,N/A,,,
71617AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Aspirin,Aspirin,Drug,N/A,,,
c9c76271-4736-47cd-aadd-86521a678bfe,,,Amlodipine,Amlodipine,Drug,N/A,,,
70252b71-5039-4afb-b8f8-3f22fe300918,,,Atenolol,Atenolol,Drug,N/A,,,
dd766217-50a8-4a10-bc6d-031a1ff932b4,,,Enalapril,Enalapril,Drug,N/A,,,
8b584bf2-5006-4e04-98d8-22af160e7689,,,Hydralazine,Hydralazine,Drug,N/A,,,
9ceef3a8-b5d4-42ac-8584-710bcef00317,,,Hydrochlorothiazide,Hydrochlorothiazide,Drug,N/A,,,
f010bba7-769f-4083-8ed9-581513734848,,,Methyldopa,Methyldopa,Drug,N/A,,,
8b732fab-81d0-44d0-a1c0-b48f29abbcf7,,,Nicardipine,Nicardipine,Drug,N/A,,,
3582affc-0292-4c6e-82e1-d947d2b747d9,,,Nifedipine,Nifedipine,Drug,N/A,,,
934e4832-4f8c-4f18-8e6c-44df60185a4f,,,Losartan,Losartan,Drug,N/A,,,
7e11b94c-759c-4c9e-a0fa-5268f59397b8,,,Captopril,Captopril,Drug,N/A,,,
