Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:km,Data class,Data Type,Members,_version:1,_order:500
49ea1422-dfca-4b6d-b8d5-e8688f33d780,,,Metformin 500 mg,Metformin 500 mg,Drug,N/A,,,
98a3d43a-1a0e-4f92-809b-894d5833cc1f,,,Glibenclamide 5mg/gliclazide 80mg,Glibenclamide 5mg/gliclazide 80mg,Drug,N/A,,,
39f9ad3a-88f4-400d-a854-c2433dacbb91,,,"Insulin, long-acting Injection 100 IU/ mL","Insulin, long-acting Injection 100 IU/ mL",,,,,
ad0a4f7f-cb96-4b99-b2cf-52fae54f442a,,,"Insulin, rapid acting (3-6 hours) 40 IU/1mL ","Insulin, rapid acting (3-6 hours) 40 IU/1mL ",,,,,
bad6ded9-26e1-4512-b1ac-c40728cd741f,,,"Insulin, rapid acting (3-6 hours)100IU/1mL  ","Insulin, rapid acting (3-6 hours)100IU/1mL  ",,,,,
2c18c145-faad-41ba-99e2-4547a0ca05aa,,,"Premixed Insulin 70/30 (Semi-lente 70/ Rapid 30)  100 IU/mL ","Premixed Insulin 70/30 (Semi-lente 70/ Rapid 30)  100 IU/mL ",,,,,
691ebd60-f916-4f9e-990e-8cc21420c6d9,,,Simvastatin 20mg,Simvastatin 20mg,,,,,
54b53e46-def0-4aa1-b8ff-2728e377c0b3,,,Fenofibrate 200mg,Fenofibrate 200mg,,,,,
b24f1ef6-3118-4019-b835-91ada855e0c9,,,Aspirin 100mg,Aspirin 100mg,,,,,
c9c76271-4736-47cd-aadd-86521a678bfe,,,"Amlodipine 5 mg  (as maleate, mesylate or besylate)","Amlodipine 5 mg  (as maleate, mesylate or besylate)",,,,,
70252b71-5039-4afb-b8f8-3f22fe300918,,,"Atenolol 50mg ","Atenolol 50mg ",,,,,
dd766217-50a8-4a10-bc6d-031a1ff932b4,,,Enalapril 10mg Tablet,Enalapril 10mg Tablet (as hydrogen maleate),,,,,
8b584bf2-5006-4e04-98d8-22af160e7689,,,Hydralazine 25mg Tablet,Hydralazine 25mg Tablet (as hydrochloride),,,,,
9ceef3a8-b5d4-42ac-8584-710bcef00317,,,"Hydrochlorothiazide 25/50mg scored Tablet ","Hydrochlorothiazide 25/50mg scored Tablet ",,,,,
f010bba7-769f-4083-8ed9-581513734848,,,Methyldopa,Methyldopa (for use only in the management of Eclampsia),,,,,
8b732fab-81d0-44d0-a1c0-b48f29abbcf7,,,Nicardipine inj (10 mg/50 ml in bottle),Nicardipine inj (10 mg/50 ml in bottle),,,,,
3582affc-0292-4c6e-82e1-d947d2b747d9,,,"Nifedipine 20 mg Tab ",Nifedipine 20 mg Tab (modified release),,,,,
9692baab-813e-40bf-bbb5-0c009244e5b9,,,Nifedipine 10 mg Tab,Nifedipine 10 mg Tab (immediate release),,,,,
934e4832-4f8c-4f18-8e6c-44df60185a4f,,,Losartan potassium 50mg Tab (film-coated),Losartan potassium 50mg Tab (film-coated),,,,,
7e11b94c-759c-4c9e-a0fa-5268f59397b8,,,Captopril 25mg Tab,Captopril 25mg Tab,,,,,
