Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:km,Short name:en,Short name:km,Description:en,Description:fr,Data class,Data type,Answers,Members,_version:1,_order:1001
60bf95e1-04b5-48cf-8d05-3f5883a891e0,,,Never smoked,មិនដែលជក់បារីទេ,Never smoked,មិនដែលជក់បារីទេ,,,Misc,N/A,,,,
fd676d9a-1a47-4f6c-a24e-f57ac796b7f1,,,Current smoker,កំពុងជក់បារី,Current smoker,កំពុងជក់បារី,,,Misc,N/A,,,,
57ce8832-7ea7-45f9-91ba-09e1c064073b,,,Ex-smoker,អតីតអ្នកជក់បារី ឬ ធ្លាប់ជក់បារី,Ex-smoker,អតីតអ្នកជក់បារី ឬ ធ្លាប់ជក់បារី,,,Misc,N/A,,,,
7533aa7e-04cb-4cfd-9c97-6ac36f114bab,,,Does the patient smoke?,តើអ្នកជំងឺជក់បារីទេ?,Does the patient smoke?,តើអ្នកជំងឺជក់បារីទេ?,,,Question,Coded,Never smoked;Current smoker;Ex-smoker,,,
c31a2da0-f16b-44e3-baea-8a259d8beb31,,,Does the patient partake in at least 150 minutes of intensive exercise per week?,តើអ្នកជំងឺចូលរួមហាត់ប្រាណយ៉ាងតិច 150 នាទីក្នុងមួយសប្តាហ៍ដែរឬទេ?,Does the patient partake in at least 150 minutes of intensive exercise per week?,តើអ្នកជំងឺចូលរួមហាត់ប្រាណយ៉ាងតិច 150 នាទីក្នុងមួយសប្តាហ៍ដែរឬទេ?,,,Question,Coded,Yes;No,,,
e737c8c9-a154-47a1-aa20-ed13008d46cf,,,Does the patient drink alcohol?,តើអ្នកជំងឺផឹកគ្រឿងស្រវឹងឬទេ?,Does the patient drink alcohol?,តើអ្នកជំងឺផឹកគ្រឿងស្រវឹងឬទេ?,,,Question,Coded,Yes;No,,,
d7035879-6668-4cb0-87ab-a1311ccb774c,,,Counselled on Tobacco cessation,បានផ្តល់​ប្រឹក្សា​អំពី​ការ​ឈប់​ជក់​បារី,Counselled on Tobacco cessation,បានផ្តល់​ប្រឹក្សា​អំពី​ការ​ឈប់​ជក់​បារី,,,Question,Coded,Yes;No,,,
dc833bb7-2d04-4be0-ab58-47b9fb2bf771,,,Counselled on Diet & Physical Activity,បានផ្តល់​ប្រឹក្សា​អំពី​របបអាហារ និងកាយវប្បកម្ម (សកម្មភាពរាងកាយ),Counselled on Diet & Physical Activity,បានផ្តល់​ប្រឹក្សា​អំពី​របបអាហារ និងកាយវប្បកម្ម (សកម្មភាពរាងកាយ),,,Question,Coded,Yes;No,,,
805c3a0b-cd38-4ed6-b4f8-f3af0fc118ad,,,Started on medicine,បានចាប់ផ្តើមប្រើឱសថ,Started on medicine,បានចាប់ផ្តើមប្រើឱសថ,,,Question,Coded,Yes;No,,,
62e5ac97-0fb6-478b-bd30-2157374b3cc0,,,Medication,ឱសថ,Medication,ឱសថ,,,Question,Text,,,,
7feb6724-dd34-411a-aa24-2422bfefe407,,,Healthy Diet,របបអាហារដែលមានសុខុមាលភាព,Healthy Diet,របបអាហារដែលមានសុខុមាលភាព,,,Misc,N/A,,,,
91ac05d8-174b-4127-ae40-ae90b2244993,,,Physical Activity,កាយវប្បកម្ម (សកម្មភាពរាងកាយ),Physical Activity,កាយវប្បកម្ម (សកម្មភាពរាងកាយ),,,Misc,N/A,,,,
73ac6960-6205-466e-8fad-54165e8a55f7,,,Alcohol Consumption,ការប្រើប្រាស់គ្រឿងស្រវឹង,Alcohol Consumption,ការប្រើប្រាស់គ្រឿងស្រវឹង,,,Misc,N/A,,,,
f24e644d-7c12-476a-9ec4-9734f148502a,,,Smoking,ជក់បារី,Smoking,ជក់បារី,,,Misc,N/A,,,,
