Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:km,Short name:en,Short name:km,Description:en,Description:fr,Data class,Data type,Answers,Members,_version:1,_order:1003
f8fd0782-a9fc-4c02-b556-72740853bc18,,,Known hypertensive,ជំងឺលើសសម្ពាធឈាមដែលបានដឹង,Known hypertensive,ជំងឺលើសសម្ពាធឈាមដែលបានដឹង,,,Question,Coded,Yes;No,,,
b8edfbde-5f94-421e-8b25-e86afe35d0f7,,,Known diabetic,ជំងឺទឹកនោមផ្អែមដែលបានដឹង,Known diabetic,ជំងឺទឹកនោមផ្អែមដែលបានដឹង,,,Question,Coded,Yes;No,,,
c311aec0-dd3d-4c84-a4ab-601fab82ca37,,,Antihypertensive medication use,បច្ចុប្បន្នកំពុងប្រើថ្នាំព្យាបាលជំងឺលើសសម្ពាធឈាម,Antihypertensive medication use,បច្ចុប្បន្នកំពុងប្រើថ្នាំព្យាបាលជំងឺលើសសម្ពាធឈាម,,,Question,Coded,Yes;No,,,
3c803217-425c-4d7c-a2cb-fc2256ad7ca2,,,Antidiabetic medication use,បច្ចុប្បន្នកំពុងប្រើថ្នាំព្យាបាលជំងឺទឹកនោមផ្អែម,Antidiabetic medication use,បច្ចុប្បន្នកំពុងប្រើថ្នាំព្យាបាលជំងឺទឹកនោមផ្អែម,,,Question,Coded,Yes;No,,,
7cf6d87c-4a23-467d-83c1-cd5efacd8cd1,,,Diabetes/Kidney disease in first degree relatives,ធ្លាប់មានប្រវត្តិជំងឺទឹកនោមផ្អែម ឬជំងឺតម្រងនោមចំពោះសាច់ញាតិបង្កើត (ខ្សែទីមួយ),Diabetes/Kidney disease in first degree relatives,ធ្លាប់មានប្រវត្តិជំងឺទឹកនោមផ្អែម ឬជំងឺតម្រងនោមចំពោះសាច់ញាតិបង្កើត (ខ្សែទីមួយ),,,Question,Coded,Yes;No,,,
157621ff-16ac-4dd4-bc96-6164d3248807,,,Premature heart disease/stroke in first degree relatives,ធ្លាប់មានប្រវត្តិជំងឺបេះដូង ឬគ្រោះថ្នាក់សរសៃឈាមខួរក្បាលចំពោះសាច់ញាតិបង្កើត  (ខ្សែទីមួយ),Premature heart disease/stroke in first degree relatives,ធ្លាប់មានប្រវត្តិជំងឺបេះដូង ឬគ្រោះថ្នាក់សរសៃឈាមខួរក្បាលចំពោះសាច់ញាតិបង្កើត  (ខ្សែទីមួយ),,,Question,Coded,Yes;No,,,
ad8f9ff4-63f1-40b9-b405-aef4ae674c2d,,,Past Medical History,ប្រវត្តិសុខភាពពីអតីតកាល,Past Medical History,ប្រវត្តិសុខភាពពីអតីតកាល,,,ConvSet,N/A,,Known hypertensive;Known diabetic;Antihypertensive medication use;Antidiabetic medication use;Diabetes/Kidney disease in first degree relatives;Premature heart disease/stroke in first degree relatives,,
e0fffb24-5973-40a9-af11-2e4033831747,,,Presence of TB symptoms,មានរោគសញ្ញាសង្ស័យរបេង,Presence of TB symptoms,មានរោគសញ្ញាសង្ស័យរបេង,,,Question,Coded,Yes;No,,,
7083941d-1342-4dd7-ba16-ddc78b61f239,,,Has patient been diagnosed for Diabetes mellitus?,តើអ្នកជំងឺត្រូវបានគេធ្វើរោគវិនិច្ឆ័យថាមានជំងឺទឹកនោមផ្អែមដែរឬទេ?,Has patient been diagnosed for Diabetes mellitus?,តើអ្នកជំងឺត្រូវបានគេធ្វើរោគវិនិច្ឆ័យថាមានជំងឺទឹកនោមផ្អែមដែរឬទេ?,,,Question,Coded,Yes;No,,,
fe0b5b8e-c9a2-4c87-813d-f10884987d9c,,,Previous diabetes mellitus diagnosis?,ការធ្វើរោគវិនិច្ឆ័យជំងឺទឹកនោមផ្អែមពីមុន?,Previous diabetes mellitus diagnosis?,ការធ្វើរោគវិនិច្ឆ័យជំងឺទឹកនោមផ្អែមពីមុន?,,,Question,Coded,Type 1 diabetes (E10);Type 2 diabetes (E11);Gestational diabetes (O24.4),,,
3fe4ac96-893f-4193-a896-1b7e9528719d,,,Year of diagnosis,ឆ្នាំនៃការធ្វើរោគវិនិច្ឆ័យ,Year of diagnosis,ឆ្នាំនៃការធ្វើរោគវិនិច្ឆ័យ,,,Misc,Date,,,,
d3c8a8d4-c141-401f-8354-adbeda86011f,,,High Blood Pressure Symptoms,រោគសញ្ញាលើសសម្ពាធឈាម,High Blood Pressure Symptoms,រោគសញ្ញាលើសសម្ពាធឈាម,,,Misc,Text,,,,
