Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:1001
76cd4ace-1a6f-5e2c-b69f-d9dfc157afa2,,ACT-RHD:bpg_supply_stockout,BPG supply stockout,,,Misc,N/A,,,
1e628c9a-0f9c-56ba-a7f8-61da24a538e8,,ACT-RHD:could_not_afford_injection_supplies,Could not afford injection supplies,,,Misc,N/A,,,
56fb6a9e-a90e-5bad-b701-88199d74f7a9,,ACT-RHD:could_not_arrange_transportation,Could not arrange transportation,,,Misc,N/A,,,
5633b68d-30a2-5325-9e7c-31e133f43156,,ACT-RHD:excessive_pain,Excessive pain,,,Misc,N/A,,,
63dc954c-a3ab-58ec-96fc-c1801ef8aca2,,ACT-RHD:forgot_to_come,Forgot to come,,,Misc,N/A,,,
5f56cb3e-4101-5c63-b657-114f7db473ea,,ACT-RHD:generalized_hives,Generalized hives,,,Finding,N/A,,,
b2f5fbde-85d1-50cc-9254-04a46d53c9a2,,ACT-RHD:hypotonia_collapse,Hypotonia (Collapse),,,Finding,N/A,,,
1ef5505d-edce-5984-9d8f-7e8e5aeda26b,,ACT-RHD:hypoxemia,Hypoxemia,,,Finding,N/A,,,
e6bde973-9fe5-5a6e-accf-d1ab16dd7ddc,,ACT-RHD:injection_site_infection,Injection site infection,,,Misc,N/A,,,
5085f024-7bc7-5791-b7f5-e816007ee59c,,ACT-RHD:leg_numbness,Leg numbness,,,Misc,N/A,,,
f96ecc22-a114-5b7a-a334-2bdc2d4b62f4,,ACT-RHD:leg_swelling_48_hours_post_injection,Leg swelling > 48 hours post-injection,,,Misc,N/A,,,
ef11f3e5-dbc2-5e21-85dc-12d984f238c3,,ACT-RHD:limp_48_hours_post_injection,Limp >48 hours post-injection,,,Misc,N/A,,,
a620dfe1-9626-5d26-8149-e85646e0c3cc,,ACT-RHD:other_free_text,Other (free text),,,Misc,N/A,,,
6b7af79b-ac82-5e31-92c6-28c98f25f349,,ACT-RHD:pain_48_hours_post_injection,Pain >48 hours post-injection,,,Misc,N/A,,,
4d6c8b64-ae48-5307-a0e3-00cec3eeaea3,,ACT-RHD:rash_thought_to_be_from_injection,Rash thought to be from injection,,,Misc,N/A,,,
104cc643-90bc-58bd-9962-e81a03c63093,,ACT-RHD:stridor,Stridor,,,Finding,N/A,,,
de3ba9b9-cf38-5286-8120-a3dcb425495b,,ACT-RHD:swollen_lips_tongue_uvula,Swollen lips-tongue-uvula,,,Finding,N/A,,,
384326ed-1860-5756-b6d2-9c05b7952b32,,ACT-RHD:tolerated_without_major_issue,Tolerated without major issue,,,Misc,N/A,,,
2cfca4a1-4985-5da9-91cb-e9478497e927,,ACT-RHD:was_not_available_to_come,Was not available to come,,,Misc,N/A,,,
06f0cce9-64f3-5ae8-873c-8926cd6d5057,,ACT-RHD:wheeze_bronchospasm,Wheeze-bronchospasm,,,Finding,N/A,,,
