Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:1002
65c796e5-bd32-51c6-93f7-991ff3add2ef,,ACT-RHD:acute_heart_failure,Acute heart failure,,,Diagnosis,N/A,,,
cbfcf051-bee3-549d-b233-e5be0e7d691a,,ACT-RHD:acute_rheumatic_fever,Acute rheumatic fever,,,Diagnosis,N/A,,,
04477cd8-be14-5f8d-bf25-9acdc37f8f37,,ACT-RHD:adverse_drug_reaction,Adverse drug reaction,,,Diagnosis,N/A,,,
f149b958-f9b1-5df7-bd36-c6a97c1954c6,,ACT-RHD:anticoagulation_related_hemorrhage,Anticoagulation related hemorrhage,,,Diagnosis,N/A,,,
ed1565cd-48e8-553d-a331-e1b50fe8e226,,ACT-RHD:aortic_aneurysm,Aortic aneurysm,,,Diagnosis,N/A,,,
47b5f83b-1141-5ba2-b16f-f5f7bc1f3564,,ACT-RHD:aortopulmonary_window_aortic_septal_defect,Aortopulmonary Window/Aortic septal defect,,,Diagnosis,N/A,,,
718abe57-83b9-54e2-8a7a-b212a1548854,,ACT-RHD:arteriovenous_malformation_of_cerebral_vessels,Arteriovenous malformation of cerebral vessels,,,Diagnosis,N/A,,,
1ce7a216-79dc-5f5b-83b2-9b3e695cc1b7,,ACT-RHD:atrial_arrhythmia,Atrial arrhythmia,,,Diagnosis,N/A,,,
360334b9-03e5-5982-bd7d-add4928e198b,,ACT-RHD:atrioventricular_septal_defect_canal,Atrioventricular septal Defect/Canal,,,Diagnosis,N/A,,,
c90e84e4-50d1-52e2-ac5c-0303b4aad667,,ACT-RHD:chronic_headache,Chronic headache,,,Diagnosis,N/A,,,
9be8d87e-2ebc-59c4-a2cf-e35ce58f2b3c,,ACT-RHD:cirrhosis_liver_disease,Cirrhosis/liver disease,,,Diagnosis,N/A,,,
434b03dd-6ea6-5c67-a7dd-4fac48cbcda0,,ACT-RHD:coarctation_of_the_aorta,Coarctation of the aorta,,,Diagnosis,N/A,,,
f43e9a0e-38a2-58dc-8f6f-42bd5e1db86c,,ACT-RHD:congenital_aortic_and_or_mitral_valve_disorders,Congenital aortic and/or mitral valve disorders,,,Diagnosis,N/A,,,
365e75bb-35bc-503f-b8db-53bea2528d1b,,ACT-RHD:congenital_heart_disease,Congenital heart disease,,,Misc,N/A,,,
