Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:1003
9df17a73-d1cc-5183-953e-557d6a87630a,,ACT-RHD:chest_tightness,Chest tightness,,,Finding,N/A,,,
159e363b-dc62-5a06-9f5b-816fb377cae3,,ACT-RHD:diffuse_st_segment_elevation,Diffuse ST segment elevation,,,Finding,N/A,,,
628b4762-15e5-5e97-8705-3160ba5619b8,,ACT-RHD:dizziness_or_lightheadedness,Dizziness or lightheadedness,,,Finding,N/A,,,
479f2028-a25d-5d86-b264-f07bdae56dee,,ACT-RHD:first_degree_heart_block,First degree heart block,,,Finding,N/A,,,
7aad9074-12c7-569e-9ef2-7652a47997b9,,ACT-RHD:hives_urticaria,Hives (urticaria),,,Finding,N/A,,,
672e1a50-b12f-5995-9c76-d0753960b82b,,ACT-RHD:junctional_rhythm,Junctional rhythm,,,Finding,N/A,,,
2ea2e110-676d-50b1-b470-80c9a72f0816,,ACT-RHD:left_atrial_enlargement,Left atrial enlargement,LAE,,Finding,N/A,,,
54eda1f8-b617-50fa-952f-9dffdc2bec37,,ACT-RHD:left_bundle_branch_block,Left bundle branch block,LBBB,,Finding,N/A,,,
ed595b95-91cb-5a74-991b-18967bc628ab,,ACT-RHD:mouth_or_throat_swelling,Mouth or throat swelling,,,Finding,N/A,,,
354a5e2f-726f-5792-a780-55fdb440fbe1,,ACT-RHD:nausea_or_vomiting,Nausea or vomiting,,,Finding,N/A,,,
6d85ceb4-3746-56b9-9d39-70a25c38b238,,ACT-RHD:nonspecific_st_segment_changes,Nonspecific ST segment changes,,,Finding,N/A,,,
c1e4256f-bde0-515f-9992-1a9c5d572324,,ACT-RHD:nonspecific_t_wave_changes,Nonspecific t-wave changes,,,Finding,N/A,,,
1487337c-188c-59e0-8c26-92cf3d152f20,,ACT-RHD:normal_sinus_rhythm,Normal sinus rhythm,NSR,,Finding,N/A,,,
41bd79b2-db5a-5da1-89dd-827c30ccb25a,,ACT-RHD:penicillin_allergy,Penicillin (allergy),,,Misc,N/A,,,
b4e6c064-ab4f-5ee4-9837-094731ee23d4,,ACT-RHD:penicillin_anaphylaxis,Penicillin (anaphylaxis),,,Misc,N/A,,,
bc663c48-5449-5930-b468-1b946c478f26,,ACT-RHD:premature_atrial_contractions,Premature atrial contractions,PACs,,Finding,N/A,,,
d0e81a4a-ee82-50f6-98fc-4169fa3a5855,,ACT-RHD:premature_ventricular_contractions,Premature ventricular contractions,PVCs,,Finding,N/A,,,
3377b7aa-9ea0-535d-b25a-1a134c136194,,ACT-RHD:q_wave,Q wave,,,Finding,N/A,,,
c0c182d9-257f-565a-9ca8-02f42900f8ce,,ACT-RHD:qt_prolongation,QT prolongation,,,Finding,N/A,,,
3f0a603a-5852-56a6-8a54-4d465e0df480,,ACT-RHD:rash_itchy_or_red,Rash (itchy or red),,,Finding,N/A,,,
6e20cfbf-0408-5eb0-8537-c127500db7de,,ACT-RHD:right_atrial_enlargement,Right atrial enlargement,RAE,,Finding,N/A,,,
6aadd152-7099-5c49-9b6c-01dfe41bbe09,,ACT-RHD:right_bundle_branch_block,Right bundle branch block,RBBB,,Finding,N/A,,,
2a047e85-8ca8-51e0-b35e-2e156b9e2e9b,,ACT-RHD:second_degree_heart_block,Second degree heart block,,,Finding,N/A,,,
46338b5d-affd-51cf-ba80-4cf2be9dc782,,ACT-RHD:sinus_arrhythmia,Sinus arrhythmia,,,Finding,N/A,,,
46ee4a83-a12d-5e44-ab05-23277c0914c7,,ACT-RHD:swelling_angioedema,Swelling (angioedema),,,Finding,N/A,,,
33533b0b-2bb9-5681-a140-80c324c4e1ce,,ACT-RHD:t_wave_inversion,T wave inversion,,,Finding,N/A,,,
2903f25d-06b7-5d9a-9554-72242ead36b1,,ACT-RHD:third_degree_complete_heart_block,Third degree (complete) heart block,,,Finding,N/A,,,
