Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:1004
87bdee8a-aaf8-56e7-9e34-2b668873787d,,ACT-RHD:1_month,1 month,,,Misc,N/A,,,
6f2c4ca8-a499-5851-975b-5bfb426143a9,,ACT-RHD:1_year_and_reassess,1 year and reassess,,,Misc,N/A,,,
27d3bdfa-ee43-5a36-ad56-08ce2bb6848d,,ACT-RHD:10_years_or_until_age_40_whichever_is_longer,"10 years or until age 40, whichever is longer",,,Misc,N/A,,,
63726df8-d924-54fe-b88b-b8bc9749632b,,ACT-RHD:12_months,12 months,,,Misc,N/A,,,
a3f9bcd3-787f-58b3-ae36-c494725a67eb,,ACT-RHD:2_years_and_reassess,2 years and reassess,,,Misc,N/A,,,
30f01ae8-2fc0-5ac2-be59-a573b38d73d5,,ACT-RHD:3_months,3 months,,,Misc,N/A,,,
991ec1a1-4b57-5948-ba73-72cf879cd1c5,,ACT-RHD:5_years_or_until_age_21_whichever_longer,"5 years or until age 21, whichever longer",,,Misc,N/A,,,
35d3bb08-35fb-5377-8d8f-3edd73c1178b,,ACT-RHD:6_months,6 months,,,Misc,N/A,,,
3c7f8916-3ab5-5678-83c5-be7c7bb1f5e7,,ACT-RHD:acitrom,Acitrom,,,Drug,N/A,,,
69628c7c-0e9f-5f7b-ad60-5b6f93b1cdce,,ACT-RHD:bisoprolol,Bisoprolol,,,Drug,N/A,,,
d7d470bb-1574-5a02-8c69-e8928ae03169,,ACT-RHD:candesartan,Candesartan,,,Drug,N/A,,,
c6c2eabe-06e8-5eb9-93ac-f851fd77717f,,ACT-RHD:clonidine,Clonidine,,,Drug,N/A,,,
251999e5-c6e6-5843-bf2f-9cef78472e58,,ACT-RHD:continuous,Continuous,,,Misc,N/A,,,
45e5a47d-8369-5258-a714-aeffc115194c,,ACT-RHD:daily_q24,Daily (Q24),,,Misc,N/A,,,
5b2e010c-b1d4-5875-b584-f6b7d028a211,,ACT-RHD:diltiazem,Diltiazem,,,Drug,N/A,,,
a9d138e6-48f4-547b-943a-211d1bc79200,,ACT-RHD:doxazosin,Doxazosin,,,Drug,N/A,,,
ec647e02-65c5-55e5-95f2-f092e9fe20f3,,ACT-RHD:eplerenone,Eplerenone,,,Drug,N/A,,,
2e145a91-1967-537c-b957-730f005002b2,,ACT-RHD:every_12_months,Every 12 months,,,Misc,N/A,,,
4040ccf9-175d-5502-ada2-f562662c32f5,,ACT-RHD:every_3_months,Every 3 months,,,Misc,N/A,,,
dba07d74-cd84-519c-93e3-f43c8bf7c398,,ACT-RHD:every_6_months,Every 6 months,,,Misc,N/A,,,
