Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:1005
406285f2-be72-5594-8664-c8568ad9bc88,,ACT-RHD:1_within_1_week,1 - within 1 week,,,Misc,N/A,,,
790944bd-e192-519b-beb9-24b671ef1255,,ACT-RHD:1_week,1 week,,,Misc,N/A,,,
2822a113-1cd3-510e-b5bf-95b9279b1a4f,,ACT-RHD:1_5_2_5,1.5-2.5,,,Misc,N/A,,,
ecc08a4c-6494-5737-b142-f59d18c07db1,,ACT-RHD:10_years_or_until_age_40,10 years or until age 40,,,Misc,N/A,,,
82c5209b-c183-5bc9-941c-890eba821a44,,ACT-RHD:2_within_1_month,2 - within 1 month,,,Misc,N/A,,,
086b0459-7cfc-5785-bc76-d1c8a0236ca1,,ACT-RHD:2_4_weeks,2-4 weeks,,,Misc,N/A,,,
d894d89a-04bd-5fc0-91a0-5dc3ddd8802b,,ACT-RHD:2_0_3_0,2.0-3.0,,,Misc,N/A,,,
ea841a3a-f9cb-5761-aac6-939ffb158d94,,ACT-RHD:2_5_3_5,2.5-3.5,,,Misc,N/A,,,
925610f9-1c3c-5396-880f-02a5fe309d53,,ACT-RHD:3_within_3_months,3 - within 3 months,,,Misc,N/A,,,
57e3873e-018e-5ed6-b7d4-5f73ef464cbd,,ACT-RHD:4_within_6_months,4 - within 6 months,,,Misc,N/A,,,
024cdfe6-c2eb-521c-8616-4729ac35439e,,ACT-RHD:5_years_or_until_age_21,5 years or until age 21,,,Misc,N/A,,,
37a4fbc3-e41c-545d-8d97-aff8c11e705b,,ACT-RHD:add_rhd_act_decentralization_mak_somrec_2021_61,ADD-RHD ACT decentralization (Mak-SOMREC-2021-61),,,Misc,N/A,,,
f2de81a5-99f2-5036-8cb8-1a5c2112cb91,,ACT-RHD:acknowledged,Acknowledged,,,Misc,N/A,,,
33a334e2-5caf-52c0-8ca7-e11e8cbfd7a3,,ACT-RHD:alive_in_hospital,Alive in hospital,,,Misc,N/A,,,
6a5cbfbf-24af-5387-ace9-f702162a5105,,ACT-RHD:alive_out_of_hospital,Alive out of hospital,,,Misc,N/A,,,
32bababb-a833-5bab-8cb7-5c5a5644c590,,ACT-RHD:aortic_valve_replacement_repair,Aortic valve Replacement/Repair,,,Misc,N/A,,,
f7e76d81-d3ce-5759-bf0d-6fda118cac70,,ACT-RHD:aortic_valve_repair,Aortic valve repair,,,Misc,N/A,,,
6ba15d4b-921d-52f4-9d56-aaed9df33239,,ACT-RHD:aortic_valve_replacement,Aortic valve replacement,,,Misc,N/A,,,
05ec48ad-2a5e-553f-b168-03e65ead7f48,,ACT-RHD:aunt,Aunt,,,Misc,N/A,,,
49b8c6ab-aeec-5894-923f-8e6ad1de89c0,,ACT-RHD:available_in_district,Available in district,,,Misc,N/A,,,
2d44b2e2-749a-573c-bb44-a1307e7cadce,,ACT-RHD:bpg,BPG,,,Misc,N/A,,,
3d32f20c-b4b5-5765-8f80-7b89b8cb3859,,ACT-RHD:cardiac_catheterization,Cardiac catheterization,,,Misc,N/A,,,
414f1c28-9507-5fc3-8684-dc3fd57a52fb,,ACT-RHD:cardiac_surgery,Cardiac surgery,,,Misc,N/A,,,
4ba666f7-f45e-5be1-b17a-5de2ae6e2107,,ACT-RHD:cesarean_section,Cesarean section,,,Misc,N/A,,,
cee375ca-7c28-5347-a844-728b4b8878fb,,ACT-RHD:clinical_change_findings,Clinical Change/Findings,,,Misc,N/A,,,
515378af-2fa3-5a44-83ad-e95d74a535a4,,ACT-RHD:clinician_reported_reaction,Clinician reported reaction,,,Misc,N/A,,,
a819d576-1467-5b9d-b77a-0c33d3819be3,,ACT-RHD:connected_with_patient,Connected with patient,,,Misc,N/A,,,
3e3438a1-07a1-5a64-a370-d8763751a283,,ACT-RHD:conscious_sedation,Conscious sedation,,,Misc,N/A,,,
