Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:1006
80fd3840-fc9a-5220-9096-de1275638c9f,,ACT-RHD:community_clinic,Community clinic,,,Misc,N/A,,,
2567da9f-864e-5408-b5ae-6686f80d0a99,,ACT-RHD:death,Death,,,Finding,N/A,,,
82b79c86-ec8a-5d9d-8cf2-077d85b80f64,,ACT-RHD:district_or_regional_referral_hospital,District or regional referral hospital,,,Misc,N/A,,,
ded96719-cf9e-502b-b196-b074b8e90431,,ACT-RHD:fetal_loss_after_25_weeks,Fetal loss after 25 weeks,,,Finding,N/A,,,
61bc0253-cecb-5245-b028-1e3cfad547a7,,ACT-RHD:fetal_loss_between_15_24_weeks,Fetal loss between 15-24 weeks,,,Finding,N/A,,,
13cfb3cc-8a17-5fb3-a7c4-7d99be7db1c8,,ACT-RHD:fetal_loss_within_14_weeks,Fetal loss within 14 weeks,,,Finding,N/A,,,
8656c519-49db-54f6-a32f-eb73a734a5ec,,ACT-RHD:full_term_live_birth,Full-term live birth,,,Finding,N/A,,,
f4b1bea6-69c3-5ee4-915c-e879e2110b5d,,ACT-RHD:home_with_family,Home with family,,,Misc,N/A,,,
b747672a-8881-53bb-8626-d5fac3918440,,ACT-RHD:home_with_midwife,Home with midwife,,,Misc,N/A,,,
65914cdd-8b53-5968-9652-644c891553d8,,ACT-RHD:hospitalization,Hospitalization,,,Finding,N/A,,,
10071e8e-4d3b-5db4-ab4f-82f49d93267d,,ACT-RHD:new_onset_heart_failure,New onset heart failure,,,Finding,N/A,,,
d39a4a5f-f8ff-50d8-be27-f08f93066ab5,,ACT-RHD:pre_term_live_birth,Pre-term live birth,,,Finding,N/A,,,
e3f08b8a-5904-5173-b39c-f3cfb41b1790,,ACT-RHD:rhythm_disturbance,Rhythm disturbance,,,Finding,N/A,,,
cfceaf51-ac5f-58b3-b986-d02831efe69e,,ACT-RHD:small_for_gestational_age,Small for gestational age,,,Finding,N/A,,,
34e28d2b-1d3b-56a3-bde4-d615d41f72d3,,ACT-RHD:tertiary_referral_hospital,Tertiary referral hospital,,,Misc,N/A,,,
