Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:1008
de743df6-7404-51d9-97be-0d988a4759a1,,ACT-RHD:active,Active,,,Misc,N/A,,,
18ef66ff-1321-5627-880d-c4550da8d15e,,ACT-RHD:chd_spontaneous_resolution,CHD spontaneous resolution,,,Misc,N/A,,,
5835eb9e-1e31-5866-9de7-1715dd4b7156,,ACT-RHD:calendar,Calendar,,,Misc,N/A,,,
28452410-f2a2-5ad7-9590-43e47df1d254,,ACT-RHD:clinical_presentation,Clinical presentation,,,Misc,N/A,,,
fdecbe0d-8c8d-545d-a3b8-b2fd31704db1,,ACT-RHD:coincidental_finding,Coincidental finding,,,Misc,N/A,,,
24b5320c-bf9b-5c3b-a43c-d700cc1134e1,,ACT-RHD:community_based_screening,Community-based screening,,,Misc,N/A,,,
c3ec61d8-7117-5295-83a8-2dffb457f435,,ACT-RHD:confirmatory_echo_normal,Confirmatory echo normal,,,Misc,N/A,,,
90925418-a853-54a0-8105-bd003b98132d,,ACT-RHD:could_not_afford_medication,Could not afford medication,,,Misc,N/A,,,
30639dfc-096c-5b52-bd28-6c3f38ced1cc,,ACT-RHD:forgot,Forgot,,,Misc,N/A,,,
9e861499-cebe-5371-a893-5747f365da73,,ACT-RHD:healthcare_center_screening,Healthcare center screening,,,Misc,N/A,,,
6c42a798-83e3-5b56-84d3-a1ba3f410377,,ACT-RHD:inactive,Inactive,,,Misc,N/A,,,
3bce222b-1305-5977-91f8-6adb559bcce8,,ACT-RHD:medication_has_side_effects,Medication has side effects,,,Misc,N/A,,,
64c5a80b-c9c5-5dd2-a60f-85c423c4bafa,,ACT-RHD:medication_ran_out,Medication ran out,,,Misc,N/A,,,
1795c346-64df-54e3-aca1-a2855c8cc740,,ACT-RHD:patient_report,Patient report,,,Misc,N/A,,,
7eea66ed-4405-5e56-8c4a-4585d59c5478,,ACT-RHD:physical_relocation,Physical relocation,,,Misc,N/A,,,
204eaab6-8380-5d21-8b4a-a066eb17dcca,,ACT-RHD:pill_count,Pill count,,,Misc,N/A,,,
00e06a31-9d6f-5045-a6f8-62cf96fcd526,,ACT-RHD:post_mortem,Post-mortem,,,Misc,N/A,,,
06d80315-eaf9-5c71-a4c7-cb9759f93fe1,,ACT-RHD:pregnancy_labor,Pregnancy/labor,,,Misc,N/A,,,
0198e8a2-c475-58d7-b19b-a6391db1bc27,,ACT-RHD:rhd_arrhythmia,RHD - arrhythmia,,,Misc,N/A,,,
27f70da6-ee9e-5919-8b68-9977312f9ada,,ACT-RHD:rhd_heart_failure,RHD - heart failure,,,Misc,N/A,,,
218ff4c4-caa1-5666-b30e-4051e66c58c1,,ACT-RHD:rhd_intervention,RHD - intervention,,,Misc,N/A,,,
e50b612b-5460-5b0c-b919-90a3dbe1919f,,ACT-RHD:rhd_stroke,RHD - stroke,,,Misc,N/A,,,
5b7d5eb4-4c6a-52cb-95f3-ac5033708fc9,,ACT-RHD:school_health_screening,School health screening,,,Misc,N/A,,,
6a5113cc-1ecc-5f83-bddd-6a74a79daf5a,,ACT-RHD:voluntary_inactivity,Voluntary inactivity,,,Misc,N/A,,,
