Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Members,_version:1,_order:3000
435f9871-ea54-578d-9c95-d7933f31db82,,ACT-RHD:set_30_day_follow_up_rhd_section,30-day follow-up (RHD section),,"Questions in the 30-day follow-up section of the Surgical History, Interventions, & Outcomes form",ConvSet,N/A,Date of Patient Follow-up Contact; Is Patient Alive?; How was the patient contacted?; Is the patient OK?; Describe the patient's current condition,,
3f5bc0e0-741d-5266-96b5-f78acede7324,,ACT-RHD:set_adverse_reaction_surveillance_rhd_section,Adverse reaction surveillance (RHD section),,Questions in the Adverse reaction surveillance section of the BPG Delivery form,ConvSet,N/A,Adverse Reaction; Skin Mucosa Signs or Symptoms; Respiratory Signs or Symptoms; Cardiovascular Signs or Symptoms; Abdominal/Pelvic Signs or Symptoms; Neurological Signs or Symptoms; Signs or Symptoms Risk Factors,,
c88381af-2435-5f73-9a66-1fb1884132c1,,ACT-RHD:set_allergies_rhd_section,Allergies (RHD section),,Questions in the Allergies section of the Allergies form,ConvSet,N/A,Penicillin Allergy; Evidence; Reaction (Allergies); Other Allergies,,
c7de2ac4-0e71-52db-b99d-b66610ad3cdb,,ACT-RHD:set_anticoagulation_rhd_section,Anticoagulation (RHD section),,Questions in the Anticoagulation section of the Anticoagulation form,ConvSet,N/A,Date (Anticoagulation); Type of Anticoagulation,,
cc6d4fcf-0389-59f4-893e-4142ef3f4a4f,,ACT-RHD:set_anticoagulation_monitoring_anticoagnulation_monitoring_rhd_section,Anticoagulation monitoring (Anticoagnulation Monitoring) (RHD section),,Questions in the Anticoagulation monitoring (Anticoagnulation Monitoring) section of the Anticoagnulation Monitoring form,ConvSet,N/A,Date (Anticoagulation Monitoring),,
878f91cc-af76-568e-a9bd-b3a18119d367,,ACT-RHD:set_anticoagulation_monitoring_consultation_visit_rhd_section,Anticoagulation monitoring (Consultation Visit) (RHD section),,Questions in the Anticoagulation monitoring (Consultation Visit) section of the Consultation Visit form,ConvSet,N/A,INR Target; Date (Consultation Visit); INR,,
6412ea65-505b-5273-97b8-01d790264f37,,ACT-RHD:set_assessment_rhd_section,Assessment (RHD section),,Questions in the Assessment section of the Consultation Visit form,ConvSet,N/A,Key Findings/Recommendations,,
a1f72a15-ff55-5832-9877-4a1815c8ce90,,ACT-RHD:set_cardiac_intervention_rhd_section,Cardiac intervention (RHD section),,Questions in the Cardiac intervention section of the Cardiac Intervention form,ConvSet,N/A,Date of Intervention; Location; Procedure performed,,
e5869082-9fd1-5036-be9e-f63c39e2c947,,ACT-RHD:set_cardiac_medications_rhd_section,Cardiac medications (RHD section),,Questions in the Cardiac medications section of the Consultation Visit form,ConvSet,N/A,Cardiac Medication; Dosing (Consultation Visit); Dosing Interval,,
90618b48-4dbc-5233-b67e-f7fa7efd938d,,ACT-RHD:set_catheterization_rhd_section,Catheterization (RHD section),,"Questions in the Catheterization section of the Surgical History, Interventions, & Outcomes form",ConvSet,N/A,Catheterization Type(s); Indication for catheterization; Pre-Catheterization Diagnosis; Brief Summary of Catheterization; Post-Catheterization Diagnosis; Anaesthesia; Pre-Inflation: LA Pressure; Pre-Inflation: LV Pressure; Post-Inflation: LA Pressure; Post-Inflation: LV Pressure; Mitral Valve Area,,
9256ed70-3a8a-5158-b9a3-b1f2a01182f7,,ACT-RHD:set_chronic_health_conditions_rhd_section,Chronic health conditions (RHD section),,Questions in the Chronic health conditions section of the Chronic Health Conditions form,ConvSet,N/A,Hematology/Oncology; Cardiovascular Disorders; Chronic Respiratory Diseases; Digestive diseases; Neurological/Metal Health; Diabetes and Kidney Diseases,,
83c1a9ed-858a-568c-a311-bef6674b3076,,ACT-RHD:set_consent_rhd_section,Consent (RHD section),,Questions in the Consent section of the Consent form,ConvSet,N/A,Study Name; Assent; Consent; Name of person consenting; Relation of person consenting; Study Completion; Reason for completiong,,
