Uuid,Void/Retire,Fully specified name:en,Data class,Data type,_version:1,_order:3001
01cc923e-4d43-51ed-9625-0d8eb06e05d1,true,Plan and follow-up,ConvSet,N/A,,
0f13c1a6-c047-5286-a356-f467b4c03795,true,Visit details,ConvSet,N/A,,
20b72f24-77c7-5f7f-93ea-23be4e51ae90,true,Injection,ConvSet,N/A,,
24d5c643-12d9-50bc-9e18-5412051a2c98,true,Cardiac intervention,ConvSet,N/A,,
2759b828-2e32-5a74-a13a-f80ee1af0b2c,true,Anticoagulation monitoring (Anticoagnulation Monitoring),ConvSet,N/A,,
34d6b64f-b772-5bb8-ac14-04ad579dd10f,true,Adverse reaction surveillance,ConvSet,N/A,,
392258f2-f455-54e3-9c1f-6dbf7d658608,true,Delivery and outcomes,ConvSet,N/A,,
3e46e8b2-57e4-5ad4-bc58-90dfc6f873b8,true,Electrocardiogram,ConvSet,N/A,,
44286df4-4bdf-5e30-b623-1b0eb642dee4,true,RHD consultation update,ConvSet,N/A,,
62b850f6-ee99-56af-b52b-b8c6f42451a0,true,Pregnancy details,ConvSet,N/A,,
68e137ce-8e10-5358-b909-bd63a64e4d1e,true,Anticoagulation,ConvSet,N/A,,
70548d15-a0ac-5f51-85a2-606234bdf2e2,true,Oral adherence,ConvSet,N/A,,
7bcda508-9372-5f81-9e33-5efce0e4d467,true,Cardiac medications,ConvSet,N/A,,
8e9243d4-5b70-531f-8e04-5c40ac1338a9,true,30-day follow-up,ConvSet,N/A,,
acb36a06-7c99-5472-bccd-1f9b2594826e,true,Procedure details,ConvSet,N/A,,
bf72c3d6-f8da-5391-be41-64085b6c50da,true,Secondary prophylaxis,ConvSet,N/A,,
c1ac3b2e-4a08-5b73-aa9b-993d4d54c889,true,Hospital admission,ConvSet,N/A,,
c20bb569-55b8-5001-97aa-0d02b0766052,true,Post-procedure outcome,ConvSet,N/A,,
d31e91f3-70a4-5762-a4ef-445aacc4e034,true,Patient information,ConvSet,N/A,,
daeb0443-dcd0-57cc-99e8-858114024251,true,Interventional recommendations,ConvSet,N/A,,
de831230-b3f7-5a53-a273-d7d1e3642ad6,true,Anticoagulation monitoring (Consultation Visit),ConvSet,N/A,,
fec02612-c6a0-594c-8b77-95446fd18192,true,History and comorbidities,ConvSet,N/A,,
