Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:2007
8e0a8feb-0ac5-5670-b92e-9ae0d0008520,,ACT-RHD:q_anaesthesia,Anaesthesia,,,Question,Coded,Conscious sedation; General anaesthesia,,
86c4348a-1ec0-5ca2-a9a6-15f0f282cb95,,ACT-RHD:q_bacterial_sepsis,Bacterial Sepsis,,,Question,Boolean,,,
27dbb0d6-100e-5696-b7ea-6ed036c40735,,ACT-RHD:q_brief_summary_of_catheterization,Brief Summary of Catheterization,,,Question,Text,,,
14015b12-3f8b-535e-9cc6-dc935f4c854f,,ACT-RHD:q_cardiac_catheterization_type,Cardiac catheterization type,,,Question,Coded,Diagnostic catheterization; Mitral balloon valvuloplasty; 5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
24a11c85-8500-5dc7-856c-3432bc88fe55,,ACT-RHD:q_cardiac_surgery_type,Cardiac surgery type,,,Question,Coded,Mitral valve repair/replacement; Aortic valve repair/replacement; 5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
bb4a77ee-836a-57e7-a262-632fa22288d2,,ACT-RHD:q_catheterization_type_s,Catheterization Type(s),,,Question,Coded,Diagnostic cardiac catheterization; Mitral balloon valvuloplasty; Other (with field to complete),,
8a9146f7-186c-55b2-a8df-c5ed70d12ac5,,ACT-RHD:q_date_recommendation_made,Date Recommendation Made,,,Question,Date,,,
d4317b82-5d37-5b59-ac32-4922f18cd65b,,ACT-RHD:q_date_of_hospital_discharge,Date of Hospital Discharge,,,Question,Date,,,
605c542b-e3b8-5488-87e7-86f976ded9a5,,ACT-RHD:q_date_of_intervention,Date of Intervention,,,Question,Date,,,
49f9238d-2ca4-5efd-a5cb-f00a0b44828d,,ACT-RHD:q_date_of_patient_follow_up_contact,Date of Patient Follow-up Contact,,,Question,Date,,,
d81dfd3d-a882-5451-815d-ae6e98c291af,,ACT-RHD:q_describe,Describe,,,Question,Text,,,
