Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:2008
2c13856b-5622-500f-b986-f1509c424056,,ACT-RHD:q_delivery_mode,Delivery mode,,,Question,Coded,Vaginal birth; Cesarean section,,
3ad5133c-80d0-5007-ba1a-c5be27cbb10c,,ACT-RHD:q_estimated_due_date,Estimated Due Date,,,Question,Date,,,
e52a3150-1b3f-5ee5-89df-20439c08ef22,,ACT-RHD:q_estimated_gestational_age_at_delivery_weeks,Estimated Gestational Age at Delivery (weeks),,,Question,Text,,,
7e596b69-bb4e-5080-90b3-0d191c0d340a,,ACT-RHD:q_fetal_outcomes,Fetal Outcomes,,,Question,Coded,Fetal loss within 14 weeks; Fetal loss between 15-24 weeks; Fetal loss after 25 weeks; 125872AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; Full-term live birth; Pre-term live birth; Small for gestational age,,
37145a69-0515-5e34-b16f-4cbb898a748e,,ACT-RHD:q_location_of_delivery,Location of Delivery,,,Question,Coded,Home with family; Home with midwife; Community clinic; District or regional referral hospital; Tertiary referral hospital; 5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
062a66ad-8efb-5d28-a6d9-511bb396d661,,ACT-RHD:q_maternal_cause_of_death,Maternal Cause of Death,,,Question,Text,,,
d476b4e0-5c24-5d99-9588-26aadc1e35c6,,ACT-RHD:q_maternal_complications_during_pregnancy,Maternal Complications During Pregnancy,,coded in spec but no answer set resolved -- using Text,Question,Text,,,
7ec339f7-be0b-5199-a9e7-a8ab82860fb2,,ACT-RHD:q_maternal_complications_within_30_days_after_pregnancy,Maternal Complications Within 30 Days After Pregnancy,,coded in spec but no answer set resolved -- using Text,Question,Text,,,
53e59cbb-f2ef-5662-be9a-a4dc7e09ec51,,ACT-RHD:q_neonatal_outcomes_30_days_after_delivery,Neonatal Outcomes 30 Days After Delivery,,,Question,Coded,Alive out of hospital; Alive in hospital; 159AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
864deea0-d006-559e-b5fb-5b26c4c56fa5,,ACT-RHD:q_neonatal_weight_kg,Neonatal weight (kg),,,Question,Text,,,
a81827f3-5832-530f-91ef-b3a0c58079ca,,ACT-RHD:q_neontal_cause_of_death,Neontal Cause of Death,,,Question,Text,,,
0574bebd-028b-5f69-b92c-48d26d04afb1,,ACT-RHD:q_number_of_fetuses,Number of Fetuses,,,Question,Text,,,
8245f302-13c3-5754-a199-95040901fbc4,,ACT-RHD:q_pregnancy_number,Pregnancy Number,,,Question,Text,,,
