Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:2009
2cebe220-2a9d-5c53-be68-f2257a4bfc9e,,ACT-RHD:q_additional_information_to_help_locate_patient,Additional information to help locate patient,,,Question,Text,,,
955632a1-82f7-5b84-a341-de85f95588d1,,ACT-RHD:q_case_detected_by,Case Detected By,,,Question,Coded,Clinical presentation; Pregnancy/labor; School health screening; Community-based screening; Healthcare center screening; Coincidental finding; Post-mortem; 5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
1a5aa050-661d-5e89-95d7-c1eba476df22,,ACT-RHD:q_category_at_diagnosis,Category at Diagnosis,,,Question,Coded,Acute rheumatic fever; RHD A; RHD B; RHD C; RHD D; Screen + pending confirmatory echo; Congenital heart disease; Other heart disease,,
07534416-c1c2-5772-83d8-76a429986ec0,,ACT-RHD:q_date_of_death,Date of Death,,,Question,Date,,,
a4d27e8c-0c90-571f-be54-a6132c7a1d69,,ACT-RHD:q_details_of_events_leading_up_to_death,Details of events leading up to death,,,Question,Text,,,
1af5b942-8747-5dfb-aa40-805b5575f2e3,,ACT-RHD:q_home_address,Home Address,,,Question,Text,,,
6ffe2fe5-f7c0-5993-b20e-13d1ccd384dc,,ACT-RHD:q_pregnant_or_postpartum_60_days_after_delivery_at_time_of_death,Pregnant or Postpartum (60 Days After Delivery) at Time of Death,,,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
32f3e45d-c2a8-5c19-b4d1-9306251426f6,,ACT-RHD:q_relocation_area,Relocation Area,,,Question,Text,,,
17eeabd8-b3cd-5ae1-b600-9769174eadea,,ACT-RHD:q_tertiary_phone_ownder,Tertiary Phone Ownder,,,Question,Text,,,
02e65ad0-676d-5fb7-9a5d-044c1b67621b,,ACT-RHD:q_whatsapp,WhatsApp,,,Question,Boolean,,,
