Concept,Member,Member Type,Sort Weight
Anterior segment diagnoses OS,Presbyopia OS,CONCEPT-SET,1
Anterior segment diagnoses OS,Amblyopia OS,CONCEPT-SET,1
Anterior segment diagnoses OS,Strabismus OS,CONCEPT-SET,1
Anterior segment diagnoses OS,Corneal dystrophy OS,CONCEPT-SET,1
Anterior segment diagnoses OS,Dry eye syndrome OS,CONCEPT-SET,1
Anterior segment diagnoses OS,Pterygium OS,CONCEPT-SET,1
Anterior segment diagnoses OS,Cataract OS,CONCEPT-SET,1
Anterior segment diagnoses OS,Pseudophakia OS,CONCEPT-SET,1
Anterior segment diagnoses OS,Status post uveitis OS,CONCEPT-SET,1
General Ophthalmological Findings,General Illness,CONCEPT-SET,1
General Ophthalmological Findings,Medication,CONCEPT-SET,1
General Ophthalmological Findings,Last Ophtamological Visit,CONCEPT-SET,1
General Ophthalmological Findings,Wears Glasses Since,CONCEPT-SET,1
Autorefraction OS,Spherical refraction OS,CONCEPT-SET,1
Autorefraction OS,Cylinder refraction OS,CONCEPT-SET,1
Autorefraction OS,Axis OS,CONCEPT-SET,1
Autorefraction OS,Visual Acuity with correction OS,CONCEPT-SET,1
Subjective Refraction OS,Spherical refraction OS,CONCEPT-SET,1
Subjective Refraction OS,Cylinder refraction OS,CONCEPT-SET,1
Subjective Refraction OS,Axis OS,CONCEPT-SET,1
Subjective Refraction OS,Visual Acuity with correction OS,CONCEPT-SET,1
Autorefraction OD,Spherical refraction OD,CONCEPT-SET,1
Autorefraction OD,Cylinder refraction OD,CONCEPT-SET,1
Autorefraction OD,Axis OD,CONCEPT-SET,1
Autorefraction OD,Visual Acuity with correction OD,CONCEPT-SET,1
Subjective Refraction OD,Spherical refraction OD,CONCEPT-SET,1
Subjective Refraction OD,Cylinder refraction OD,CONCEPT-SET,1
Subjective Refraction OD,Axis OD,CONCEPT-SET,1
Subjective Refraction OD,Visual Acuity with correction OD,CONCEPT-SET,1
Service,Registration,CONCEPT-SET,1
Service,Refraction Service,CONCEPT-SET,1
Service,Eye Exam,CONCEPT-SET,1
Service,Therapy,CONCEPT-SET,1
Service,Pre-Surgery,CONCEPT-SET,1
Service,Surgery,CONCEPT-SET,1
