Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1
0ee4c038-56b7-4ffe-808b-5a9ec5a00004,,00004 - ABACAVIR (COMO SULFATO) 300 mg,ABACAVIR (COMO SULFATO),bd1e9059-62b4-4967-a804-a63eda4f8657,300 mg,
ba394cdb-80c0-4f9d-b7e5-8b3e22300056,,00056 - ACETAZOLAMIDA 250 mg,ACETAZOLAMIDA,bd1e9059-62b4-4967-a804-a63eda4f8657,250 mg,
3b4afa83-9baf-4237-bf9b-752ac8d00091,,00091 - ACIDO ACETILSALICILICO 100 mg,ACIDO ACETILSALICILICO,bd1e9059-62b4-4967-a804-a63eda4f8657,100 mg,
d5a86892-b09d-49ed-90b4-f0a336200111,,00111 - ACICLOVIR (UNGÜENTO OFTALMICO) 3 g/100 g (3 %) 3.5 g,ACICLOVIR (UNGÜENTO OFTALMICO),eb18ccb3-da15-4bdc-a7d0-2f3beacc1202,3 g/100 g (3 %) 3.5 g,
bc7b83cd-a37c-44a7-8448-629186000143,,00143 - ACICLOVIR 200 mg,ACICLOVIR,bd1e9059-62b4-4967-a804-a63eda4f8657,200 mg,
04e2f009-2b4e-4029-9eb3-544b99500145,,00145 - ACICLOVIR 400 mg,ACICLOVIR,bd1e9059-62b4-4967-a804-a63eda4f8657,400 mg,
7ce25d30-a376-4317-b608-84a626900200,,00200 - ACIDO FOLICO 500 µg (0.5 mg),ACIDO FOLICO,bd1e9059-62b4-4967-a804-a63eda4f8657,500 µg (0.5 mg),
b333159a-095a-40ea-9e21-b1ae68f00202,,00202 - ACIDO FUSIDICO 2 g/100 g (2 %) 15 g,ACIDO FUSIDICO,626078e7-8eef-48ea-9e43-7ccd4dc8dda9,2 g/100 g (2 %) 15 g,
afedda82-e991-4bf8-8d44-1bba85f00223,,00223 - ACIDO TRANEXAMICO 1 g 10 mL,ACIDO TRANEXAMICO,6eee6dc1-1976-4f1f-928e-0575aa94a0af,1 g 10 mL,
88cf6113-c970-4a0f-96a6-72d7ba100225,,00225 - ACIDO TRANEXAMICO 250 mg,ACIDO TRANEXAMICO,bd1e9059-62b4-4967-a804-a63eda4f8657,250 mg,
2f26103c-3444-4c88-9e66-f5b57ea00259,,00259 - ALBENDAZOL 100 mg/5 mL 20 mL,ALBENDAZOL,cb0d9718-b01a-4850-a8e5-b59c2d3f38a8,100 mg/5 mL 20 mL,
5c4ae654-38d6-47dd-a127-efdd38700269,,00269 - ALBENDAZOL 200 mg,ALBENDAZOL,bd1e9059-62b4-4967-a804-a63eda4f8657,200 mg,
50b9be90-4402-4595-b6db-86b1b6800356,,00356 - ACIDO ALENDRONICO (COMO ALENDRONATO SODICO) 70 mg,ACIDO ALENDRONICO (COMO ALENDRONATO SODICO),bd1e9059-62b4-4967-a804-a63eda4f8657,70 mg,
4505d877-2a8e-491f-b538-984e05500389,,00389 - ALOPURINOL 100 mg,ALOPURINOL,bd1e9059-62b4-4967-a804-a63eda4f8657,100 mg,
f779aeb6-69f2-4380-be2e-b3c271900390,,00390 - ALOPURINOL 300 mg,ALOPURINOL,bd1e9059-62b4-4967-a804-a63eda4f8657,300 mg,
aaf71ba1-5543-40bf-9a90-d2e7b2d00393,,00393 - ALPRAZOLAM 500 µg (0.5 mg),ALPRAZOLAM,bd1e9059-62b4-4967-a804-a63eda4f8657,500 µg (0.5 mg),
d943fabf-f08e-48ac-8c5f-c253d2200625,,00625 - AMIKACINA (COMO SULFATO) 50 mg/mL 2 mL,AMIKACINA (COMO SULFATO),6eee6dc1-1976-4f1f-928e-0575aa94a0af,50 mg/mL 2 mL,
5ae94c18-6e29-4e92-9804-f066a0e00627,,00627 - AMIKACINA (COMO SULFATO) 250 mg/mL 2 mL,AMIKACINA (COMO SULFATO),6eee6dc1-1976-4f1f-928e-0575aa94a0af,250 mg/mL 2 mL,
8595db2c-d7cd-47b5-9f5e-1c28c9d00662,,00662 - AMINOFILINA 25 mg/mL 10 mL,AMINOFILINA,6eee6dc1-1976-4f1f-928e-0575aa94a0af,25 mg/mL 10 mL,
a2712408-6af1-4ac9-97c6-a11da6e00663,,00663 - AMIODARONA CLORHIDRATO 50 mg/mL 3 mL,AMIODARONA CLORHIDRATO,6eee6dc1-1976-4f1f-928e-0575aa94a0af,50 mg/mL 3 mL,
a600cc8f-1dfc-4783-a5f9-d1fe8fd00664,,00664 - AMIODARONA CLORHIDRATO 200 mg,AMIODARONA CLORHIDRATO,bd1e9059-62b4-4967-a804-a63eda4f8657,200 mg,
bcf6535d-e55f-4b41-96a0-a4ec7c200670,,00670 - AMITRIPTILINA CLORHIDRATO 25 mg,AMITRIPTILINA CLORHIDRATO,bd1e9059-62b4-4967-a804-a63eda4f8657,25 mg,
16595185-48b6-418a-9504-18d74c500671,,00671 - AMLODIPINO (COMO BESILATO) 10 mg,AMLODIPINO (COMO BESILATO),bd1e9059-62b4-4967-a804-a63eda4f8657,10 mg,
3df1c4cb-9618-4072-844b-cbfac0f00673,,00673 - AMLODIPINO (COMO BESILATO) 5 mg,AMLODIPINO (COMO BESILATO),bd1e9059-62b4-4967-a804-a63eda4f8657,5 mg,
814a19cb-c2e0-4408-8005-a540b8f00725,,00725 - AMOXICILINA + ACIDO CLAVULANICO (COMO SAL POTASICA) 250 mg + 62.5 mg/5 mL 60 mL,AMOXICILINA + ACIDO CLAVULANICO (COMO SAL POTASICA),cb0d9718-b01a-4850-a8e5-b59c2d3f38a8,250 mg + 62.5 mg/5 mL 60 mL,
