Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1,_order:4000
5d7444ff-253f-571f-9d6e-c28d3b511235,,Acitrom,3c7f8916-3ab5-5678-83c5-be7c7bb1f5e7,,,,
4895bd58-9869-5012-b992-c3ea223dcb07,,Amiodarone,71118AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,,
0136d2fe-af00-51be-9d0c-9b456c6430c7,,Aspirin,71617AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,,
87c045b5-25be-585d-b2dd-fabde66cb4a6,,Atenolol,316441ec-c0fd-44bc-a040-c68f4da8d228,,,,
028ede50-6f26-50eb-8912-b031cf478b92,,Bisoprolol,69628c7c-0e9f-5f7b-ad60-5b6f93b1cdce,,,,
a7522811-0d39-56a6-839a-ba05413a144f,,Candesartan,d7d470bb-1574-5a02-8c69-e8928ae03169,,,,
ea2e25cf-0069-5475-a1b8-c8939571d772,,Captopril,f5e348b5-ecd5-47cf-9a37-78e7ef08978d,,,,
fc977413-efdd-58f8-8a4f-558a2254905d,,Carvedilol,ba3cd2c4-d28f-4546-86d6-f6906fffc046,,,,
0b27d158-532d-56ef-bd5e-83c81c5c4a6f,,Clonidine,c6c2eabe-06e8-5eb9-93ac-f851fd77717f,,,,
09f1f5ad-1e48-508f-b7fe-9217a61d6635,,Clopidogrel,cb8afacc-1b2c-493a-aad2-b67e69c73973,,,,
94113f6a-57d1-59c3-8086-f0a67f33771d,,Digoxin,72005c75-6d84-468e-a28e-43ca17a7216a,,,,
dc5de0d7-b650-524f-893d-f9c2aee37040,,Diltiazem,5b2e010c-b1d4-5875-b584-f6b7d028a211,,,,
daa47ba5-62f7-5377-a185-bbc5140ea3a7,,Doxazosin,a9d138e6-48f4-547b-943a-211d1bc79200,,,,
d243fe95-4c14-5171-996a-4741d0aa45b3,,Enalapril,d612ddcc-9d3b-4489-97e1-22893c9735df,,,,
d405f1f3-1a13-50b0-afcb-c10b0d677004,,Enoxaparin,14146168-c1af-414c-b211-679cf1952d3d,,,,
8e4a5f71-f343-52da-9746-30d55b276ab6,,Eplerenone,ec647e02-65c5-55e5-95f2-f092e9fe20f3,,,,
5340fc65-21da-50d0-aa2b-7f9394c289c0,,Felodipine,54cb5a65-b55a-5059-b4dc-19aa6f709806,,,,
7c824ce9-998d-5b0d-8b9a-e985403c8dc0,,Flecainide,ce7939f0-3943-5f40-8cb4-2ee7438bc9df,,,,
51b1fe7d-adbb-51e9-ac17-fffd70e0a589,,Furosemide,9f6c3927-2a31-485c-8735-f10b9951aef9,,,,
d5413155-4cbd-524a-94b6-5bbe932803ab,,Hydralazine,b87151c8-136b-4986-90bd-ca472176a08c,,,,
c5d7e40b-ebec-5c52-bf0a-af59f44c0808,,Irbesatan,cdc1dbd2-07a0-520b-a1b9-bb868bb9deca,,,,
483c12cb-1d53-5c24-aa94-e14c9c4d42c0,,Isosorbide dinitrate,91e206fa-fc82-43e1-a72b-dd1653b41428,,,,
3dc03809-9c35-5c8a-92ad-0145a1be1e4f,,Isosorbide mononitrate,c65d61af-b804-4a17-8f6b-b6d758fcf75a,,,,
b4fdcb1a-74e3-55ae-ae98-bf5b607f7b32,,Losartan,502a66e9-2eb3-4e13-926f-57fe9d393a94,,,,
a52130fd-33fa-5c38-9e38-379e4f8140c0,,Methyldopa,2abaf024-1a07-4828-ad80-cff39e62c1f4,,,,
2b85218f-9186-5562-9a60-0efc1191594d,,Metolazone,7c3c4351-4073-50a7-ad76-53a4e2446e86,,,,
09934ebe-a898-5cc7-80ea-374c098fb6c5,,Metoprolol,7dc18dde-ad3f-405a-be1e-8fc15a01cd91,,,,
de5e334d-c446-59cf-b1ac-9d8ddf0494af,,Minoxidil,c2674a49-4994-5c95-9b66-26048629efab,,,,
4216de96-100c-5c99-9cb6-2f0b0f8f3154,,Nebivolol,a8b02e6e-09bd-543b-84ec-bcb1be629159,,,,
