Uuid,Void/Retire,Name,Description
a0b03050-c99b-11e0-9572-0800200c9a66,,Unknown,"Encounter role para proveedores heredados sin rol definido (Resolución Ministerial N° 546-2021)",
240b26f9-dd88-4172-823d-4a8bfeb7841f,,Médico Responsable,"Profesional médico responsable de la atención según Ley N° 29414 y R.M. 546-2021",
1a2b3c4d-1234-5678-9101-abcdefghij01,,Enfermera de Triaje,"Profesional de enfermería capacitado en clasificación de riesgo según NTS N° 021-MINSA/2021",
2b3c4d5e-2234-5678-9101-abcdefghij02,,Médico Especialista,"Médico especialista colegiado según requerimiento del caso (Ley N° 23330)",
3c4d5e6f-3234-5678-9101-abcdefghij03,,Técnico de Enfermería,"Personal técnico capacitado para procedimientos según R.M. N° 310-2021-MINSA",
4d5e6f7g-4234-5678-9101-abcdefghij04,,Obstetra,"Profesional obstetra para control prenatal y atención del parto (NTS N° 050-MINSA)",
5e6f7g8h-5234-5678-9101-abcdefghij05,,Cirujano Dentista,"Odontólogo certificado para atención bucodental (NTS N° 040-MINSA)",
6f7g8h9i-6234-5678-9101-abcdefghij06,,Psicólogo Clínico,"Especialista en salud mental registrado en el Colegio de Psicólogos del Perú",
7g8h9i0j-7234-5678-9101-abcdefghij07,,Técnico de Laboratorio,"Personal capacitado para toma de muestras según NTS N° 090-MINSA",
8h9i0j1k-8234-5678-9101-abcdefghij08,,Farmacéutico Responsable,"Químico Farmacéutico colegiado según Ley N° 29414",
9i0j1k2l-9234-5678-9101-abcdefghij09,,Nutricionista,"Especialista en nutrición para manejo de dietoterapia (NTS N° 102-MINSA)",
0j1k2l3m-0234-5678-9101-abcdefghij10,,Técnico de Rayos X,"Personal capacitado en radiología según R.S. N° 330-2021-MINSA",
1k2l3m4n-1234-5678-9101-abcdefghij11,,Trabajador Social,"Profesional para seguimiento de casos sociales (R.M. N° 546-2021)",
2l3m4n5o-2234-5678-9101-abcdefghij12,,Técnico de Registro,"Personal administrativo para carga de datos según SIS",
3m4n5o6p-3234-5678-9101-abcdefghij13,,Acompañante Familiar,"Familiar o tutor legal autorizado (Resolución Ministerial N° 546-2021)",
4n5o6p7q-4234-5678-9101-abcdefghij14,,Agente Comunitario,"ACS capacitado según R.M. N° 526-2021-MINSA",
5o6p7q8r-5234-5678-9101-abcdefghij15,,Coordinador de Referencia,"Responsable de traslados interinstitucionales (NTS N° 102-MINSA)",
