Uuid,Void/Retire,Name,Description,View privilege,Edit privilege,_order:1000
1a2b3c4d-1234-5678-9101-abcdefghij01,,Consulta Externa,"Atención ambulatoria en consultorio médico para diagnóstico y tratamiento. Basado en la NTS N° 029-MINSA.",,,
2b3c4d5e-2234-5678-9101-abcdefghij02,,Consulta Especializada,"Consulta en especialidades médicas como cardiología, neumología, pediatría, etc. Basado en la NTS N° 040-MINSA.",,,
67a71486-1a54-468f-ac3e-7091a9a79584,,Triaje,"Evaluación inicial de signos vitales y clasificación del paciente según urgencia. Basado en la NTS N° 021-MINSA.",,,
4d5e6f7g-4234-5678-9101-abcdefghij04,,Hospitalización,"Registro del ingreso del paciente para hospitalización en áreas médicas, quirúrgicas, obstétricas o pediátricas. Basado en la NTS N° 032-MINSA.",,,
5e6f7g8h-5234-5678-9101-abcdefghij05,,Alta Hospitalaria,"Registro del egreso del paciente hospitalizado con indicaciones para seguimiento. Basado en la NTS N° 032-MINSA.",,,
6f7g8h9i-6234-5678-9101-abcdefghij06,,Atención en Emergencia,"Evaluación y manejo inmediato en situaciones de urgencia médica. Basado en la NTS N° 021-MINSA.",,,
7g8h9i0j-7234-5678-9101-abcdefghij07,,Atención en Sala de Partos,"Atención del trabajo de parto y parto en un centro hospitalario. Basado en la NTS N° 050-MINSA.",,,
8h9i0j1k-8234-5678-9101-abcdefghij08,,Atención de Seguimiento de Enfermedades Crónicas,"Manejo de hipertensión, diabetes, EPOC, y otras enfermedades crónicas. Basado en la NTS N° 067-MINSA.",,,
9i0j1k2l-9234-5678-9101-abcdefghij09,,Evaluación de Salud Mental,"Evaluaciones psicológicas o psiquiátricas en consulta externa o en hospitalización. Basado en la R.M. 856-2019.",,,
0j1k2l3m-0234-5678-9101-abcdefghij10,,Prescripción y Dispensación de Medicamentos,"Registro de indicación y entrega de medicamentos en farmacia hospitalaria o comunitaria. Basado en la NTS N° 042-MINSA.",,,
1k2l3m4n-1234-5678-9101-abcdefghij11,,Resultados de Laboratorio,"Registro de resultados de pruebas de laboratorio clínico. Basado en la NTS N° 090-MINSA.",,,
29c02aff-9a93-46c9-bf6f-48b552fcb1fa,,Administración de Vacunas,"Registro de administración de vacunas del Esquema Nacional de Inmunización. Basado en la NTS N° 123-MINSA.",,,
3m4n5o6p-3234-5678-9101-abcdefghij13,,Educación y Consejería en Salud,"Orientación en hábitos saludables, prevención de enfermedades y lactancia materna. Basado en la NTS N° 050-MINSA.",,,
4n5o6p7q-4234-5678-9101-abcdefghij14,,Interconsulta,"Consulta solicitada por un médico a otra especialidad. Basado en la NTS N° 102-MINSA.",,,
5o6p7q8r-5234-5678-9101-abcdefghij15,,Referencia y Contrarreferencia,"Registro de derivación de pacientes a otro nivel de atención o su retorno con informe médico. Basado en la NTS N° 102-MINSA.",,,
6p7q8r9s-6234-5678-9101-abcdefghij16,,Traslado Intra-Hospitalario,"Registro del movimiento del paciente dentro del hospital entre servicios o áreas. Basado en la NTS N° 032-MINSA.",,,
7q8r9s0t-7234-5678-9101-abcdefghij17,,Asignación de Cama,"Registro de asignación de cama en hospitalización, emergencia o UCI. Basado en la NTS N° 032-MINSA.",,,
8r9s0t1u-8234-5678-9101-abcdefghij18,,Nota de Evolución de Hospitalización,"Registro diario de la evolución clínica del paciente hospitalizado. Basado en la R.M. N° 546-2011.",,,
9s0t1u2v-9234-5678-9101-abcdefghij19,,Solicitud de Traslado,"Registro de solicitud de referencia para traslado de paciente a hospital de mayor complejidad. Basado en la NTS N° 102-MINSA.",,,
0t1u2v3w-0234-5678-9101-abcdefghij20,,Anulación de Encuentro,"Registro que indica la anulación de una referencia, traslado o egreso, con justificación médica. Basado en la R.M. N° 546-2011.",,,
58a87b85-cb6c-4a4c-bc5f-0a2d1e0ff8ba,,Control Prenatal,"Evaluaciones periódicas de la gestante para seguimiento del embarazo. Basado en la NTS N° 050-MINSA.",,,
2v3w4x5y-2234-5678-9101-abcdefghij22,,Control Postnatal,"Evaluación de la madre y el recién nacido después del parto. Basado en la NTS N° 050-MINSA.",,,
3w4x5y6z-3234-5678-9101-abcdefghij23,,Control de Niño Sano,"Evaluaciones periódicas del crecimiento y desarrollo infantil. Basado en la NTS N° 102-MINSA.",,,
4x5y6z7a-4234-5678-9101-abcdefghij24,,Atención de Odontología,"Registro de atenciones odontológicas preventivas o curativas. Basado en la NTS N° 040-MINSA.",,,
5y6z7a8b-5234-5678-9101-abcdefghij25,,Carga de Archivos Clínicos,"Registro de documentos adjuntos al expediente del paciente. Basado en la R.M. N° 546-2011.",,,
6z7a8b9c-6234-5678-9101-abcdefghij26,,Supervisión de Tratamiento DOT (Tuberculosis),"Registro de la administración de medicamentos supervisados para TB. Basado en la NTS N° 090-MINSA.",,,
7a8b9c0d-7234-5678-9101-abcdefghij27,,Atención de Paciente con Desnutrición y Anemia,"Evaluación y manejo nutricional en población infantil y gestante. Basado en la NTS N° 102-MINSA.",,,
8b9c0d1e-8234-5678-9101-abcdefghij28,,Ecografía Obstétrica,"Registro de ecografías prenatales en seguimiento del embarazo. Basado en la NTS N° 050-MINSA.",,,
9c0d1e2f-9234-5678-9101-abcdefghij29,,Manejo de Personas Afectadas por COVID-19,"Evaluación, tratamiento y monitoreo de pacientes con COVID-19. Basado en la NTS N° 094-2022.",,,
0d1e2f3g-0234-5678-9101-abcdefghij30,,Atención de Salud Ambulatoria Quirúrgica Electiva,"Registro de intervenciones quirúrgicas programadas sin hospitalización prolongada. Basado en la NTS N° 172-MINSA.",,,
465a92f2-baf8-42e9-9612-53064be868e8,,Terapia física,"La terapia física trata las enfermedades que limitan la capacidad de una persona de realizar actividades funcionales en su vida cotidiana.",,,
39da3525-afe4-45ff-8977-c53b7b359158,,Ordenes Medicas,"Encuentro para registrar ordenes de laboratorio y de medicamentos",,,
d7151f82-c1f3-4152-a605-2f9ea7414a79,,Notas de Atención,"Registro de observaciones clínicas y evolución del paciente en cada consulta.",,,
bfbb5dc2-d3e6-41ea-ad86-101336e3e38f,,Atención Extramural,"Atención brindada fuera del establecimiento de salud, incluyendo visitas domiciliarias y campañas de salud.",,,
e0a6cba3-fa9c-4bf0-90b7-9d4d48401d1c,,Evaluación Cefalo Caudal,"Evaluaciòn Cefalo Caudal, parte de Control de Niño Sano." ,,,
f90ac51d-bc0b-4551-a6f2-358e1a47751f,,Consejería Lactancia Materna,"Consejeria Materna, parte del Control de Niño Sano" ,,,
83c8d2d0-4758-43b5-bba7-04aac5c08a07,,Atención Inmediata del Recién Nacido,"Atención Inmediata del Recién Nacido, parte del programa CRED.",,,
