Uuid,Void/Retire,Name,Description,Parent,Tag|Login Location,Tag|Visit Location,Tag|Facility Location,Tag|Queue Location,Tag|Admission Location,Tag|Transfer Location,Attribute|9eca4f4e-707f-4bb8-8289-2f9b6e93803c,Attribute|Last Audit Date,Address 1,Address 2,Address 3,Address 4,Address 5,Address 6,City/Village,County/District,State/Province,Postal Code,Country,_order:1000
8d6c993e-c2cc-11de-8d13-0010c6dffd0f,,Unknown Location,Unknown Location,,,,,,,,,,,,,,,,,,,,,
f47ac10b-58cc-4372-a567-0e02b2c3d479,,Ubuntu Hospital,Ubuntu Hospital,,,TRUE,,,,,,,,,,,,,,,,,,
44c3efb0-2583-4c80-a79e-1f756a03c0a1,,Outpatient Clinic,Outpatient Clinic,Ubuntu Hospital,TRUE,,TRUE,TRUE,,,,,,,,,,,,,,,,
ba685651-ed3b-4e63-9b35-78893060758a,,Inpatient Ward,Inpatient Ward,Ubuntu Hospital,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,
8d9045ad-50f0-45b8-93c8-3ed4bce19dbf,,Mobile Clinic,Mobile Clinic,,TRUE,TRUE,,,,,,,,,,,,,,,,,,
1ce1b7d4-c865-4178-82b0-5932e51503d6,,Community Outreach,Community Outreach,,TRUE,TRUE,,,,,,,,,,,,,,,,,,
184ac7d9-225a-41f8-bac7-c87b1327e1b0,,Ward 1,Ward 1,Ubuntu Hospital,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,
5a7f3c53-6bb4-448b-a966-5e65b397b9f3,,Ward 2,Ward 2,Ubuntu Hospital,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,
2272b8cd-b690-4878-a50c-40d22235b3f3,,Ward 3,Ward 3,Ubuntu Hospital,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,
dbdaabf6-a326-4804-aba7-062073e05cd1,,Site 1,Site 1,,TRUE,TRUE,,,,,,,,,,,,,,,,,,
4a06a96f-dd21-4695-8d76-b9c405cebafc,,Site 2,Site 2,,TRUE,TRUE,,,,,,,,,,,,,,,,,,
d493f3eb-ba7c-4e6c-988d-62491e496045,,Site 3,Site 3,,TRUE,TRUE,,,,,,,,,,,,,,,,,,
dd2ad4cd-e33a-40cc-955a-e91e313f9a3b,,Site 4,Site 4,,TRUE,TRUE,,,,,,,,,,,,,,,,,,
94346397-3848-4b92-9219-a981ed4265f8,,Site 5,Site 5,,TRUE,TRUE,,,,,,,,,,,,,,,,,,
0566e68d-26ff-4e1d-a199-a9b8ecc3a7d4,,Site 6,Site 6,,TRUE,TRUE,,,,,,,,,,,,,,,,,,
