Uuid,Void/Retire,Name,Description,Parent,Tags,Tag|Facility Location,Attribute|9eca4f4e-707f-4bb8-8289-2f9b6e93803c,Attribute|Last Audit Date,Address 1,Address 2,Address 3,Address 4,Address 5,Address 6,City/Village,County/District,State/Province,Postal Code,Country,_order:1000
e3350125-8cb3-4b57-bb44-50933872d323,,NCD clinic,NCD clinic,,Login Location,TRUE,,,,,,,,,,,,,,
d43a63df-c4fb-4d97-9057-f4dcb23e8345,,Gynecology/Obstetric,Gynecology/Obstetric,,Login Location,TRUE,,,,,,,,,,,,,,
ba3a8941-016e-4585-bec0-469c4e6ab103,,100101. មន្ទីរពេទ្យបង្អែកឆ្លូង_RH,100101. មន្ទីរពេទ្យបង្អែកឆ្លូង_RH,,Login Location,TRUE,,,,,,,,,,,,,,
d583bf9f-1117-4dd6-8bd3-f3e337615bb6,,100102. ចំបក់_HC,100102. ចំបក់_HC,,Login Location,TRUE,,,,,,,,,,,,,,
75768295-02df-47ae-965b-d7e84040194b,,100103. តាម៉ៅ_HC,100103. តាម៉ៅ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
beab3652-6f9a-4066-9159-bc5a91fda2f2,,100105. ខ្សាច់អណ្តែត_HC,100105. ខ្សាច់អណ្តែត_HC,,Login Location,TRUE,,,,,,,,,,,,,,
46ab571a-79ba-4954-a259-21c6ff038df3,,100106. ពង្រ_HC,100106. ពង្រ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
a9fd24a3-ecdb-4278-9780-3b5be34d4d51,,100107. ជ្រោយថ្ម_HC,100107. ជ្រោយថ្ម_HC,,Login Location,TRUE,,,,,,,,,,,,,,
18c650a6-d34e-47d1-aa4a-32fb58f87383,,100108. កញ្ជរ_HC,100108. កញ្ជរ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
38817cbc-a185-43aa-9f45-bbe6e3b61afe,,100109. ដំរីផុង_HC,100109. ដំរីផុង_HC,,Login Location,TRUE,,,,,,,,,,,,,,
57e8358c-49e2-465c-b776-a9e776069b43,,100110. ឬស្សីកែវ_HC,100110. ឬស្សីកែវ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
50c7a367-0d1d-49cf-9210-0d293f7f769d,,100111. មន្ទីរពេទ្យបង្អែកព្រែកប្រសព្វ_RH,100111. មន្ទីរពេទ្យបង្អែកព្រែកប្រសព្វ_RH,,Login Location,TRUE,,,,,,,,,,,,,,
ea41f8a5-2301-4f4a-8ace-2e223d4bda4b,,100112. ព្រែកប្រសព្វ_HC,100112. ព្រែកប្រសព្វ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
62adc5b3-9b86-4728-a7e1-3de0ebf6ec29,,100113. ព្រែកសាម៉ាន់_HC,100113. ព្រែកសាម៉ាន់_HC,,Login Location,TRUE,,,,,,,,,,,,,,
41ad6bb0-eb45-4abb-b41e-cf930ff38b01,,100114. កំពង់គរ_HC,100114. កំពង់គរ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
d246314e-26c8-4897-8680-b87538ada7e2,,100201. មន្ទីរពេទ្យខេត្តក្រចេះ_PH,100201. មន្ទីរពេទ្យខេត្តក្រចេះ_PH,,Login Location,TRUE,,,,,,,,,,,,,,
0715be65-c59b-446b-9dc9-587ab79fcf22,,100202. បុសលាវ_HC,100202. បុសលាវ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
735fe5c3-9478-4b9e-8a47-d1354e41e5bd,,100203. កន្ទួត_HC,100203. កន្ទួត_HC,,Login Location,TRUE,,,,,,,,,,,,,,
805f9627-e27a-44c1-bc40-09f41cf7530b,,100204. ថ្មគ្រែ_HC,100204. ថ្មគ្រែ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
ef8b01aa-8554-4ac8-b518-eee39c2762ce,,100205. ថ្មី_HC,100205. ថ្មី_HC,,Login Location,TRUE,,,,,,,,,,,,,,
b3caea54-2b81-48d8-b4d6-91b13950686e,,100206. រការកណ្តាល_HC,100206. រការកណ្តាល_HC,,Login Location,TRUE,,,,,,,,,,,,,,
d1b3b2c7-3ff1-41bf-aa63-1d7ce50f2124,,100207. អូរឬស្សី_HC,100207. អូរឬស្សី_HC,,Login Location,TRUE,,,,,,,,,,,,,,
141a9045-0422-46e5-b10a-ecc73a866aaa,,100208. ជ្រោយបន្ទាយ_HC,100208. ជ្រោយបន្ទាយ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
44a33f7d-286e-4865-a883-ac2ffe274293,,100209. សោប_HC,100209. សោប_HC,,Login Location,TRUE,,,,,,,,,,,,,,
c8d83b7f-de14-460e-9e29-510132810f0e,,100210. សណ្តាន់_HC,100210. សណ្តាន់_HC,,Login Location,TRUE,,,,,,,,,,,,,,
fc49ad79-b754-438c-997b-a7c2ad634428,,100212. អូរគ្រៀង_HC,100212. អូរគ្រៀង_HC,,Login Location,TRUE,,,,,,,,,,,,,,
ea21bbc5-6751-4363-a54a-e39306749e7e,,100215. រលួស_HC,100215. រលួស_HC,,Login Location,TRUE,,,,,,,,,,,,,,
c23084b5-eb51-45c3-8b27-0265befaef57,,100216. ចង្រ្កង់_HC,100216. ចង្រ្កង់_HC,,Login Location,TRUE,,,,,,,,,,,,,,
df8fddd4-b9eb-4fd3-bd98-e82a3dc3adad,,10022102. កំពង់ចាម_HC,10022102. កំពង់ចាម_HC,,Login Location,TRUE,,,,,,,,,,,,,,
61c156b1-0447-4a50-b0c1-24489d9e847b,,100230. មនោរម្យ_HC,100230. មនោរម្យ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
92ab9e5c-f578-4161-b9cc-9dec16fdca4b,,100232. ដារ_HC,100232. ដារ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
39e8a435-0eca-4b9c-aed7-042b2259e8ff,,100233. មន្ទីរពេទ្យបង្អែកសំបូរ_RH,100233. មន្ទីរពេទ្យបង្អែកសំបូរ_RH,,Login Location,TRUE,,,,,,,,,,,,,,
9f26b149-ef37-4a1f-852f-095e9144f616,,100234. សំបូរ_HC,100234. សំបូរ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
6a10421a-539e-4fc0-8f06-cafef74ed32a,,100235. វឌ្ឍនៈ_HC,100235. វឌ្ឍនៈ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
2a3c3e4c-f3ea-4ec7-bcde-f2ecd265f01c,,100236. ក្បាលដំរី_HC,100236. ក្បាលដំរី_HC,,Login Location,TRUE,,,,,,,,,,,,,,
ff02a9a5-fc2c-4bbe-8749-dacbcca3d58e,,100237. ស្រែជិះ_HC,100237. ស្រែជិះ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
ba048867-8b78-482a-8732-ae00dfb6c7dd,,100238. ថ្មអណ្តើក_HC,100238. ថ្មអណ្តើក_HC,,Login Location,TRUE,,,,,,,,,,,,,,
e550a7fe-7124-4167-b4e8-30837b3f9db3,,100239. គោលាប់_HC,100239. គោលាប់_HC,,Login Location,TRUE,,,,,,,,,,,,,,
449a39c5-eccd-4374-9536-10e36c22fc53,,100240. សំបុក_HC,100240. សំបុក_HC,,Login Location,TRUE,,,,,,,,,,,,,,
6de8877e-ac5d-4f92-9f00-0407c0aeffe2,,100301. មន្ទីរពេទ្យបង្អែកស្នួល_RH,100301. មន្ទីរពេទ្យបង្អែកស្នួល_RH,,Login Location,TRUE,,,,,,,,,,,,,,
cecb3de3-2e5f-498c-a08e-0c62174a9ed8,,100302. ពីរធ្នូ _HC,100302. ពីរធ្នូ _HC,,Login Location,TRUE,,,,,,,,,,,,,,
ec24ae53-5d35-46ec-a418-a78a55e7eb6b,,100303. ក្បាលត្រាច_HC,100303. ក្បាលត្រាច_HC,,Login Location,TRUE,,,,,,,,,,,,,,
ffd196d2-a416-469c-88f1-34eb1db9ce65,,100304. ស្នួល_HC,100304. ស្នួល_HC,,Login Location,TRUE,,,,,,,,,,,,,,
a77fa23c-31d7-43f1-ae19-e2cb0422f55f,,100305. ឃ្សឹម_HC,100305. ឃ្សឹម_HC,,Login Location,TRUE,,,,,,,,,,,,,,
5524319d-928b-4d67-a5a7-0223d799163c,,100306. ស្វាយជ្រះ_HC,100306. ស្វាយជ្រះ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
aa8de459-ab54-42bd-83a0-e21de38ea382,,100307. គ្រញូងសែនជ័យ_HC,100307. គ្រញូងសែនជ័យ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
dbaf2558-358b-4db6-acec-391cc46148cd,,10103. បុស្បូវ_HC,10103. បុស្បូវ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
65dc7d51-1e68-4492-944b-6e5f35d74d19,,10109. ឬស្សីក្រោក ១_HC,10109. ឬស្សីក្រោក ១_HC,,Login Location,TRUE,,,,,,,,,,,,,,
cd35c775-4230-46d7-8a69-60a4b6a8debd,,10110. ឬស្សីក្រោក ២_HC,10110. ឬស្សីក្រោក ២_HC,,Login Location,TRUE,,,,,,,,,,,,,,
31af48b3-21c4-4ce4-867b-6c2d0e0c36ff,,10111. សឿ_HC,10111. សឿ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
fdda0bdb-392e-4c2c-8912-7aa00a7e38f8,,10112. ចំណោម_HC,10112. ចំណោម_HC,,Login Location,TRUE,,,,,,,,,,,,,,
e3d0aea6-df0f-4ac0-b9e0-05fa1e530907,,10113. បត់ត្រង់_HC,10113. បត់ត្រង់_HC,,Login Location,TRUE,,,,,,,,,,,,,,
2c62d5a7-005a-43c4-a79f-9620c1924200,,10114. អូរប្រាសាទ_HC,10114. អូរប្រាសាទ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
486f943e-4e29-4639-b677-222ce2a30771,,10115. បន្ទាយនាង_HC,10115. បន្ទាយនាង_HC,,Login Location,TRUE,,,,,,,,,,,,,,
2bc6ce58-ef8a-4518-8a44-7f3c57320d62,,10116. ស្រះរាំង_HC,10116. ស្រះរាំង_HC,,Login Location,TRUE,,,,,,,,,,,,,,
e5dbc24c-b312-4d82-9d92-e43f542640e9,,10117. សំបួរ_HC,10117. សំបួរ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
b998aafc-fec8-420e-ad48-031f04811a68,,10118. គយម៉ែង_HC,10118. គយម៉ែង_HC,,Login Location,TRUE,,,,,,,,,,,,,,
f39a7a41-56fb-4d06-b34d-9e0f61df558a,,10119. ភ្នំតូច_HC,10119. ភ្នំតូច_HC,,Login Location,TRUE,,,,,,,,,,,,,,
321b9550-6a68-49c9-8e12-9a7382b4b30c,,10120. គោកបាល្ល័ង_HC,10120. គោកបាល្ល័ង_HC,,Login Location,TRUE,,,,,,,,,,,,,,
d72a9fdb-c16e-4e75-8f8c-06c3745daf83,,10123. រហាត់ទឹក_HC,10123. រហាត់ទឹក_HC,,Login Location,TRUE,,,,,,,,,,,,,,
a1e57104-7167-4335-ba91-39e500924948,,10124. មន្ទីរពេទ្យខេត្តមិត្តភាពកម្ពុជាជប៉ុន_PH,10124. មន្ទីរពេទ្យខេត្តមិត្តភាពកម្ពុជាជប៉ុន_PH,,Login Location,TRUE,,,,,,,,,,,,,,
50beaa6e-8517-4e63-b8f0-f9e7427d2926,,10125. តាឡំ_HC,10125. តាឡំ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
714584d7-1532-4061-ad91-92b8835f0258,,10201. មន្ទីរពេទ្យ​បង្អែក​​ប៉ោយប៉ែត_RH,10201. មន្ទីរពេទ្យ​បង្អែក​​ប៉ោយប៉ែត_RH,,Login Location,TRUE,,,,,,,,,,,,,,
25281f48-eb68-4d74-8433-94a90fcf6e07,,10202. ប៉ោយប៉ែត ១_HC,10202. ប៉ោយប៉ែត ១_HC,,Login Location,TRUE,,,,,,,,,,,,,,
d205d7a7-c873-433b-af22-11c270a3b9ff,,10203. អូរឬស្សី_HC,10203. អូរឬស្សី_HC,,Login Location,TRUE,,,,,,,,,,,,,,
0e4e552c-2936-4b13-9c33-6b8ff516ea19,,10204. សូភី_HC,10204. សូភី_HC,,Login Location,TRUE,,,,,,,,,,,,,,
d511a08a-1eea-4163-86ea-62ca60988005,,10205. និមិត្ត_HC,10205. និមិត្ត_HC,,Login Location,TRUE,,,,,,,,,,,,,,
41757d4a-0884-48df-9a35-c75474b449a8,,10206. កូប_HCB,10206. កូប_HCB,,Login Location,TRUE,,,,,,,,,,,,,,
c1b3cbbb-fcc5-480e-9579-87d1a6778d6a,,10207. អូរបីជាន់_HC,10207. អូរបីជាន់_HC,,Login Location,TRUE,,,,,,,,,,,,,,
bd76f8bb-80f6-404b-95b9-5931e7489566,,10208. សិង្ហ_HC,10208. សិង្ហ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
7ee808cc-d958-4242-8b6b-0157ebcf9ace,,10211. ប៉ោយប៉ែត ២_HC,10211. ប៉ោយប៉ែត ២_HC,,Login Location,TRUE,,,,,,,,,,,,,,
b0c66529-c041-4753-b197-10cf6bdc3ddf,,10218. សិលាខ្មែរ_HC,10218. សិលាខ្មែរ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
f4f304a4-41c7-40e8-ab15-1750c2a5a5c8,,10219. សំរោង_HC,10219. សំរោង_HC,,Login Location,TRUE,,,,,,,,,,,,,,
5f7e8e11-4670-4d42-8342-03cb1d1fe1f5,,10223. មន្ទីរពេទ្យបង្អែកអូរជ្រៅ_RH,10223. មន្ទីរពេទ្យបង្អែកអូរជ្រៅ_RH,,Login Location,TRUE,,,,,,,,,,,,,,
d45bc546-9482-49ac-afea-3f79c37f3567,,10225. ចង្ហា_HC,10225. ចង្ហា_HC,,Login Location,TRUE,,,,,,,,,,,,,,
d65bc1d7-a169-4070-a654-724d1d2bc9f7,,10301. មន្ទីរពេទ្យបង្អែកព្រះនេត្រព្រះ_RH,10301. មន្ទីរពេទ្យបង្អែកព្រះនេត្រព្រះ_RH,,Login Location,TRUE,,,,,,,,,,,,,,
e78c7717-425f-48aa-9e31-ad0e63a047b2,,10302. ឈ្នួរមានជ័យ_HC,10302. ឈ្នួរមានជ័យ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
