Uuid,Void/Retire,Name,Description,Format,Foreign,Searchable
14d4f066-15f5-102d-96e4-000c29c2a5d7,,Número de Teléfono,"Número de telefono de contacto de la persona",java.lang.String,,,
fee4e8ef-aef8-4bb9-8ed0-7ded6055c61f,,Número de Celular,"Número de celular de contacto de la persona",java.lang.String,,,
4bdf3a33-2f63-11f0-8ab4-1a7535b1b3e8,,Correo Electrónico,"Dirección de Correo Electrónico de la persona",java.lang.String,,,
8b56eac7-5c76-4b9c-8c6f-1deab8d3fc47,,Paciente No Identificado,"Indicador para pacientes cuya identidad no puede ser verificada en el proceso de admisión",java.lang.String,,,
77bbb234-2312-4644-99d0-fa894d438817,,Religión,"Religión del paciente",org.openmrs.Concept,6de6d87e-5af8-41d9-98d2-b660fabf25d9,true
8d871386-c2cc-11de-8d13-0010c6dffd0f,,Etnia,"Grupo étnico al que el paciente se identifica (Ej. Quechua, Aimara, Asháninka, Afroperuano)",org.openmrs.Concept,70482c1e-181e-416d-a0c4-a93919f9f2ef,true
8d872150-c2cc-11de-8d13-0010c6dffd0f,,Idioma Nativo,"Idioma que el paciente habla en su comunidad (Ej. Español, Quechua, Aimara, Shipibo-Konibo)",java.lang.String,,true
d4e5f6g7-8910-1112-1314-151617181920,,Tipo de Seguro de Salud,"Tipo de seguro del paciente (Ej. SIS, EsSalud, EPS, Ninguno).",org.openmrs.Concept,355ee63a-a773-47ab-9841-2505b71dec13,true
8d871afc-c2cc-11de-8d13-0010c6dffd0f,,Ocupación,"Profesión o actividad principal del paciente (Ej. Agricultor, Comerciante, Ama de Casa)",java.lang.String,,true
8d87236c-c2cc-11de-8d13-0010c6dffd0f,,Grado de Instrucción,"Nivel de educación alcanzado por el paciente (Ej. Primaria, Secundaria, Superior)",org.openmrs.Concept,2d790984-f088-4d68-984d-efab9db8c889,true
8d871f2a-c2cc-11de-8d13-0010c6dffd0f,,Estado Civil,"Estado civil del paciente (Ej. Soltero, Casado, Viudo, Divorciado, Unión Libre)",org.openmrs.Concept,aa345a81-3811-4e9c-be18-d6be727623e0,true
b4c7d8e9-f0a1-4b2c-8d3e-5f6789abcdef,,Tipo de Sangre,"Tipo de sangre del paciente (Ej. A+, A-, B+, B-, AB+, AB-, O+, O-)",org.openmrs.Concept,3f6056ed-17e9-4b3b-98a7-18dc431a7e99,true
