Uuid,Void/Retire,Name,Description,Weight,Preferred,A is to B,B is to A
c86d9979-b8ac-4d8c-85cf-cc04e7f16315,,Padre/Hijo,A relación de un padre con su hijo,1,true,Padre,Hijo
f7b3c6a5-3e2a-4a5c-b7f9-617d1b4db8a2,,Madre/Hijo,A relación de una madre con su hijo,1,true,Madre,Hijo
3982f469-cedc-4b2d-91ea-fe38f881e1a0,,Hermano/Hermana,A relación entre hermanos biológicos,,,Hermano,Hermana
4f6b4fc4-66e5-4364-be1d-d5872ff8817e,,Tío/Sobrino,A relación entre un tío y su sobrino,,,Tío,Sobrino
5c2f978d-3b7d-493c-9e8f-cb3d1c0b6a55,,Abuelo/Nieto,A relación entre un abuelo y su nieto,,,Abuelo,Nieto
6b1c5e8f-32f7-41b3-bc2a-8b3e97a6d937,,Pareja/Conviviente,A relación de pareja en unión libre o matrimonio,,,Pareja,Conviviente
117ac27a-7fec-4834-8fad-d967c702c15a,,Profesional de Salud/Paciente,Relación entre un profesional de salud y el paciente en atención médica,,,Profesional de Salud,Paciente
8c8bbfe3-8454-41f9-a180-55f7058af9bd,,Agente Comunitario/Paciente,Relación entre un Agente Comunitario de Salud (ACS) y el paciente,,,Agente Comunitario,Paciente
057de23f-3d9c-4314-9391-4452970739c6,,Tutor/Menor de Edad,Relación legal entre un tutor y un menor de edad bajo su cuidado,,,Tutor,Menor de Edad
a2b5c9f8-0d2a-4bdf-8d9b-6f3b2d1e5a2f,,Otros/Otros,Relación no categorizada dentro del esquema,,,Otros,Otros
1e3f4a5b-6789-4cde-9101-abcdef123456,,Apu/Comunidad,Relación de liderazgo entre el Apu y su comunidad,1,true,Apu,Comunidad
