    Uuid,Void/Retire,Name,Description,Weight,Preferred,A is to B,B is to A
    8d91a210-c2cc-11de-8d13-0010c6dffdff,,Madre,A relación de un padre/madre con su hijo,1,true,Madre,Hijo
    8d91a210-c2cc-11de-8d13-0010c6dffd0f,,Padre,A relación de un padre/madre con su hijo,1,true,Padre,Hijo
    8d91a01c-c2cc-11de-8d13-0010c6dffd0f,,Hermano,A relación entre hermanos biológicos,2,true,Hermano,Hermano
    5c2f978d-3b7d-493c-9e8f-cb3d1c0b6a55,,Abuelo,A relación entre un abuelo y su nieto,2,true,Abuelo,Nieto
    8d91a3dc-c2cc-11de-8d13-0010c6dffd0f,,Tío,A relación entre un tío y su sobrino,3,false,Tío,Sobrino
    8d91a3dc-c2cc-11de-8d13-0010c6dffd00,,Sobrino,A relación entre un tío y su sobrino,3,false,Sobrino,Tío
    057de23f-3d9c-4314-9391-4452970739c6,,Apoderado,Relación legal entre un tutor y un menor de edad bajo su cuidado,0,false,Apoderado,Poderdante
    6b1c5e8f-32f7-41b3-bc2a-8b3e97a6d937,,Esposo,A relación de pareja en unión libre o matrimonio,0,false,Pareja,Conviviente
    1e3f4a5b-6789-4cde-9101-abcdef123457,,Pareja,Relación de pareja,0,false,Pareja,Pareja
    8d919b58-c2cc-11de-8d13-0010c6dffd0f,,Doctor,Relación entre un profesional de salud y el paciente en atención médica,0,false,Doctor,Paciente
    5a6b7c8d-9012-4bcd-9101-abcdef123460,,Promotor de Salud,Relación entre un promotor de salud y su comunidad,0,false,Promotor de Salud,Comunidad
    8c8bbfe3-8454-41f9-a180-55f7058af9bd,,Agente Comunitario,Relación entre un Agente Comunitario de Salud (ACS) y el paciente,0,false,Agente Comunitario,Paciente
    1e3f4a5b-6789-4cde-9101-abcdef123456,,Apu,Relación de liderazgo entre el Apu y su comunidad,0,false,Apu,Comunidad
    a2b5c9f8-0d2a-4bdf-8d9b-6f3b2d1e5a2f,,Otro,Relación no categorizada dentro del esquema,0,false,Otro,Otro
