Uuid,Void/Retire,Name,Description,_version:1,Parent Visit Type
b1f0e8a1-9c5d-4f0e-8892-81f3140fbc09,,Consulta Ambulatoria,"Atención ambulatoria en consultorio médico para cuidados generales o especializados, sin requerir hospitalización. Referenciado en la NTS N° 035-MINSA.",1,
f70a865a-6cae-4d04-8d05-acb5bf88fa16,,Consulta Ambulatoria - Medicina General,"Consulta ambulatoria de medicina general para atención integral del paciente.",1,b1f0e8a1-9c5d-4f0e-8892-81f3140fbc09
00d5ce5a-5211-4dfb-b9dd-d551bc7d1afd,,Consulta Ambulatoria - Ginecología,"Consulta ambulatoria especializada en ginecología para atención de la salud reproductiva femenina.",1,b1f0e8a1-9c5d-4f0e-8892-81f3140fbc09
19fa588e-3185-41c2-a5d1-21c3a4af944b,,Consulta Ambulatoria - Obstetricia,"Consulta ambulatoria especializada en obstetricia para control prenatal y atención del embarazo.",1,b1f0e8a1-9c5d-4f0e-8892-81f3140fbc09
ae40aab4-c57d-4bb1-a27e-2cacc24dd07f,,Consulta Ambulatoria - Odontología,"Consulta ambulatoria especializada en odontología para atención de salud bucal y dental.",1,b1f0e8a1-9c5d-4f0e-8892-81f3140fbc09
61e8b805-136e-44fa-ac81-7a5ccd65f881,,Consulta Ambulatoria - Pediatría,"Consulta ambulatoria especializada en pediatría para atención de niños y adolescentes.",1,b1f0e8a1-9c5d-4f0e-8892-81f3140fbc09
54cd95e3-5fdf-4339-b717-3c649b0cad0c,,Consulta Ambulatoria - Cardiología,"Consulta ambulatoria especializada en cardiología para atención de enfermedades cardiovasculares.",1,b1f0e8a1-9c5d-4f0e-8892-81f3140fbc09
dfd5a7e3-f61e-4275-af45-70eff9070c4b,,Consulta Ambulatoria - Neurología,"Consulta ambulatoria especializada en neurología para atención de enfermedades del sistema nervioso.",1,b1f0e8a1-9c5d-4f0e-8892-81f3140fbc09
e3045dfa-22c5-4bec-8856-46e3faab996a,,Consulta Ambulatoria - Oncología,"Consulta ambulatoria especializada en oncología para atención de enfermedades neoplásicas.",1,b1f0e8a1-9c5d-4f0e-8892-81f3140fbc09
560864ec-38ef-4c51-9b22-ec10de234f57,,Consulta Ambulatoria - Psicología,"Consulta ambulatoria especializada en psicología para atención de salud mental.",1,b1f0e8a1-9c5d-4f0e-8892-81f3140fbc09
