Uuid,Void/Retire,Name,Description
b4535251-9183-4175-959e-9ee67dc71e78,,Pharmacologic Drug Class,Class of medications based on pharmacologic properties as opposed to therapeutic properties
e30d8601-07f8-413a-9d11-cdfbb28196ec,,Units of Measure,For prescribing and dispensing
1edca11a-768a-102f-83f4-12313b04a615,,Workflow,Workflow class
1edca23c-768a-102f-83f4-12313b04a615,,State,Workflow state
1edca368-768a-102f-83f4-12313b04a615,,Program,Program concept
896d8b8c-603b-421f-959e-8d305cbeeb82,,Indicator,An indicator calculated from certain measures
89a98300-062e-4003-8f6f-764ea23ab648,,Organism,Class of living organisms
8caa332c-efe4-4025-8b18-3398328e1323,,Radiology/Imaging Procedure,A radiology or imaging test or procedure
de359f23-2bfc-4e8d-96d8-25b7526d6070,,Drug form,Medication form for prescribing
e2c52f55-c7b4-49f7-9f82-1ffa2fe6023f,,InteractSet,Set of drugs that interact with parent drug
0dcf23d4-3008-4d8e-b12c-4ec95d1cfd97,,Medical supply,Durable medical equipment and other supplies
8d4907b2-c2cc-11de-8d13-0010c6dffd0f,,Test,"Acq. during patient encounter (vitals, labs, etc.)"
8d490bf4-c2cc-11de-8d13-0010c6dffd0f,,Procedure,Describes a clinical procedure
8d490dfc-c2cc-11de-8d13-0010c6dffd0f,,Drug,Drug
8d4918b0-c2cc-11de-8d13-0010c6dffd0f,,Diagnosis,Conclusion drawn through findings
8d491a9a-c2cc-11de-8d13-0010c6dffd0f,,Finding,Practitioner observation/finding
8d491c7a-c2cc-11de-8d13-0010c6dffd0f,,Anatomy,Anatomic sites / descriptors
6c28b1c6-722b-4ae6-9698-29de5428ca80,,Code,Imported from Open Concept Lab
4cbe80dd-7e32-466c-8a21-58ba0a8bcdb9,,Concept Class,Imported from Open Concept Lab
8d492b2a-c2cc-11de-8d13-0010c6dffd0f,,Symptom/Finding,Observation that can be reported from patient or found on exam
8d492ee0-c2cc-11de-8d13-0010c6dffd0f,,Misc Order,Orderable items which aren't tests or drugs
8d492774-c2cc-11de-8d13-0010c6dffd0f,,Misc,Terms which don't fit other categories
8d4923b4-c2cc-11de-8d13-0010c6dffd0f,,MedSet,Term to describe medication sets
8d492026-c2cc-11de-8d13-0010c6dffd0f,,LabSet,Term to describe laboratory sets
8d491e50-c2cc-11de-8d13-0010c6dffd0f,,Question,"Question (eg, patient history, SF36 items)"
8d492954-c2cc-11de-8d13-0010c6dffd0f,,Symptom,Patient-reported observation
8d492594-c2cc-11de-8d13-0010c6dffd0f,,ConvSet,Term to describe convenience sets
8d492d0a-c2cc-11de-8d13-0010c6dffd0f,,Specimen,Body or fluid specimen
8e071bfe-520c-44c0-a89b-538e9129b42a,,Frequency,A class for order frequencies
