Uuid,Void/Retire,Fully specified name:en,Short name:en,Fully specified name:es,Short name:es,Description:en,Data class,Data type,Answers,Members,_version:1,_order:1500
1dfb0948-4e15-11e4-8a57-0800271c1b75,,Abdominal pain,Abdominal pain,Dolor abdominal,Dolor abdominal,Abdominal pain,Misc,N/A,,,,
1dfe7928-4e15-11e4-8a57-0800271c1b75,,Abdominal Lump,Abdominal Lump,Bulto abdominal,Bulto abdominal,Abdominal Lump,Misc,N/A,,,,
1e01664e-4e15-11e4-8a57-0800271c1b75,,Anorexia,Anorexia,Anorexia,Anorexia,Anorexia,Misc,N/A,,,,
1e035d7e-4e15-11e4-8a57-0800271c1b75,,Anasarca,Anasarca,Anasarca,Anasarca,Anasarca,Misc,N/A,,,,
1e078201-4e15-11e4-8a57-0800271c1b75,,Anxiety states,Anxiety states,Estados de ansiedad,Estados de ansiedad,Anxiety states,Misc,N/A,,,,
1e09fa6a-4e15-11e4-8a57-0800271c1b75,,"Bleeding, rectal","Bleeding, rectal","Sangrado, rectal","Sangrado, rectal","Bleeding, rectal",Misc,N/A,,,,
1e0f4158-4e15-11e4-8a57-0800271c1b75,,Chest Pain,Chest Pain,Dolor de pecho,Dolor de pecho,Chest Pain,Misc,N/A,,,,
1e1f19ef-4e15-11e4-8a57-0800271c1b75,,Cleft Palate,Cleft Palate,Paladar hendido,Paladar hendido,Cleft Palate,Misc,N/A,,,,
1e233bb7-4e15-11e4-8a57-0800271c1b75,,Constipation,Constipation,Estreñimiento,Estreñimiento,Constipation,Misc,N/A,,,,
1e272149-4e15-11e4-8a57-0800271c1b75,,Convulsions,Convulsions,Convulsiones,Convulsiones,Convulsions,Misc,N/A,,,,
1e2918fb-4e15-11e4-8a57-0800271c1b75,,Cough,Cough,Tos,Tos,Cough,Misc,N/A,,,,
1e2d7883-4e15-11e4-8a57-0800271c1b75,,"Crying, infant, excessive","Crying, infant, excessive","Llanto, infantil, excesivo","Llanto, infantil, excesivo","Crying, infant, excessive",Misc,N/A,,,,
1e31dff9-4e15-11e4-8a57-0800271c1b75,,Dental caries,Dental caries,Caries dental,Caries dental,Dental caries,Misc,N/A,,,,
1e35fb1a-4e15-11e4-8a57-0800271c1b75,,Dysphagia,Dysphagia,Disfagia,Disfagia,Dysphagia,Misc,N/A,,,,
1e39b082-4e15-11e4-8a57-0800271c1b75,,"Edema, localized, NOS","Edema, localized, NOS","Edema, localizado, NEOM","Edema, localizado, NEOM","Edema, localized, NOS",Misc,N/A,,,,
1e3d5749-4e15-11e4-8a57-0800271c1b75,,Epistaxis,Epistaxis,Epistaxis,Epistaxis,Epistaxis,Misc,N/A,,,,
1e6f31a6-4e15-11e4-8a57-0800271c1b75,,"Failure to thrive, child","Failure to thrive, child","Fracaso para prosperar, niño","Fracaso para prosperar, niño","Failure to thrive, child",Misc,N/A,,,,
1ec7b018-4e15-11e4-8a57-0800271c1b75,,"Fatigue and malaise, other","Fatigue and malaise, other","Fatiga y malestar, otros","Fatiga y malestar, otros","Fatigue and malaise, other",Misc,N/A,,,,
1f090668-4e15-11e4-8a57-0800271c1b75,,"Feeding problem, infant/elderly","Feeding problem, infant/elderly","Problema de alimentación, lactante / anciano","Problema de alimentación, lactante / anciano","Feeding problem, infant/elderly",Misc,N/A,,,,
1f0f8ec6-4e15-11e4-8a57-0800271c1b75,,Fever,Fever,Fiebre,Fiebre,Fever,Misc,N/A,,,,
1f139595-4e15-11e4-8a57-0800271c1b75,,Fracture upper arm,Fracture upper arm,Fractura de brazo,Fractura de brazo,Fracture upper arm,Misc,N/A,,,,
1f17bb4b-4e15-11e4-8a57-0800271c1b75,,Gas/bloating,Gas/bloating,Gas / hinchazón,Gas / hinchazón,Gas/bloating,Misc,N/A,,,,
1f1c29f6-4e15-11e4-8a57-0800271c1b75,,Gingival and periodontal diseases,Gingival and periodontal diseases,Enfermedades gingivales y periodontales.,Enfermedades gingivales y periodontales.,Gingival and periodontal diseases,Misc,N/A,,,,
1f592562-4e15-11e4-8a57-0800271c1b75,,Headache,Headache,Dolor de cabeza,Dolor de cabeza,Headache,Misc,N/A,,,,
1f5b3d0e-4e15-11e4-8a57-0800271c1b75,,Hearing loss,Hearing loss,Pérdida de la audición,Pérdida de la audición,Hearing loss,Misc,N/A,,,,
1f5e563c-4e15-11e4-8a57-0800271c1b75,,Heartburn,Heartburn,Acidez,Acidez,Heartburn,Misc,N/A,,,,
1f635f1a-4e15-11e4-8a57-0800271c1b75,,Blood in vomiting,Blood in vomiting,Sangre en los vómitos,Sangre en los vómitos,Blood in vomiting,Misc,N/A,,,,
1f6685c0-4e15-11e4-8a57-0800271c1b75,,Hemiplegia and hemiparesis,Hemiplegia and hemiparesis,Hemiplejia y hemiparesia,Hemiplejia y hemiparesia,Hemiplegia and hemiparesis,Misc,N/A,,,,
1f6a5ea9-4e15-11e4-8a57-0800271c1b75,,Hemoptysis,Hemoptysis,Hemoptisis,Hemoptisis,Hemoptysis,Misc,N/A,,,,
1f6ee168-4e15-11e4-8a57-0800271c1b75,,Hiccups,Hiccups,Hipo,Hipo,Hiccups,Misc,N/A,,,,
1f70f0e3-4e15-11e4-8a57-0800271c1b75,,Hoarseness,Hoarseness,Ronquera,Ronquera,Hoarseness,Misc,N/A,,,,
1fa53cd0-4e15-11e4-8a57-0800271c1b75,,Infertility,Infertility,Esterilidad,Esterilidad,Infertility,Misc,N/A,,,,
1faa5af3-4e15-11e4-8a57-0800271c1b75,,Injury,Injury,Lesión,Lesión,Injury,Misc,N/A,,,,
1fad62aa-4e15-11e4-8a57-0800271c1b75,,Irregular menstrual cycle,Irregular menstrual cycle,Ciclo menstrual irregular,Ciclo menstrual irregular,Irregular menstrual cycle,Misc,N/A,,,,
1fb39d05-4e15-11e4-8a57-0800271c1b75,,"Joint swelling, single","Joint swelling, single","Inflamación de las articulaciones, única","Inflamación de las articulaciones, única","Joint swelling, single",Misc,N/A,,,,
1fefe32c-4e15-11e4-8a57-0800271c1b75,,"Localized swelling/mass, superficial","Localized swelling/mass, superficial","Hinchazón / masa localizada, superficial","Hinchazón / masa localizada, superficial","Localized swelling/mass, superficial",Misc,N/A,,,,
1ff55e9c-4e15-11e4-8a57-0800271c1b75,,Lump in breast,Lump in breast,Bulto en el pecho,Bulto en el pecho,Lump in breast,Misc,N/A,,,,
1ff9d6fc-4e15-11e4-8a57-0800271c1b75,,Swelling,Swelling,Hinchazón,Hinchazón,Swelling,Misc,N/A,,,,
1ffe2cde-4e15-11e4-8a57-0800271c1b75,,Malaise and fatigue,Malaise and fatigue,Malestar y fatiga,Malestar y fatiga,Malaise and fatigue,Misc,N/A,,,,
200275e4-4e15-11e4-8a57-0800271c1b75,,Memory loss,Memory loss,Pérdida de memoria,Pérdida de memoria,Memory loss,Misc,N/A,,,,
20052626-4e15-11e4-8a57-0800271c1b75,,Mental status changes,Mental status changes,Cambios en el estado mental,Cambios en el estado mental,Mental status changes,Misc,N/A,,,,
203d9e67-4e15-11e4-8a57-0800271c1b75,,Nausea w/ vomiting,Nausea w/ vomiting,Náuseas con vómitos,Náuseas con vómitos,Nausea w/ vomiting,Misc,N/A,,,,
207d0654-4e15-11e4-8a57-0800271c1b75,,"Nausea, alone","Nausea, alone","Náuseas, solo","Náuseas, solo","Nausea, alone",Misc,N/A,,,,
20b7d029-4e15-11e4-8a57-0800271c1b75,,Nocturia,Nocturia,Nocturia,Nocturia,Nocturia,Misc,N/A,,,,
20bb55e4-4e15-11e4-8a57-0800271c1b75,,Obstructed labor,Obstructed labor,Trabajo obstruido,Trabajo obstruido,Obstructed labor,Misc,N/A,,,,
20bed4ef-4e15-11e4-8a57-0800271c1b75,,"Pain, chronic, due to trauma","Pain, chronic, due to trauma",Dolor crónico debido a un trauma.,Dolor crónico debido a un trauma.,"Pain, chronic, due to trauma",Misc,N/A,,,,
20f7020d-4e15-11e4-8a57-0800271c1b75,,"Pain, knee","Pain, knee",Dolor de rodilla,Dolor de rodilla,"Pain, knee",Misc,N/A,,,,
212927fb-4e15-11e4-8a57-0800271c1b75,,Low backache,Low backache,Dolor de espalda,Dolor de espalda,Low backache,Misc,N/A,,,,
212d295f-4e15-11e4-8a57-0800271c1b75,,Palpitations,Palpitations,Palpitaciones,Palpitaciones,Palpitations,Misc,N/A,,,,
212ffc94-4e15-11e4-8a57-0800271c1b75,,Polyuria,Polyuria,Poliuria,Poliuria,Polyuria,Misc,N/A,,,,
2134b7e3-4e15-11e4-8a57-0800271c1b75,,"Rash, nonvesicular, unspec.","Rash, nonvesicular, unspec.","Erupción no vesicular, no especificada","Erupción no vesicular, no especificada","Rash, nonvesicular, unspec.",Misc,N/A,,,,
2173b7d9-4e15-11e4-8a57-0800271c1b75,,Something coming out of anus,Something coming out of anus,Algo saliendo del ano,Algo saliendo del ano,Something coming out of anus,Misc,N/A,,,,
2178d694-4e15-11e4-8a57-0800271c1b75,,"Seizures, convulsions, other","Seizures, convulsions, other","Convulsiones, convulsiones, otros","Convulsiones, convulsiones, otros","Seizures, convulsions, other",Misc,N/A,,,,
217d6872-4e15-11e4-8a57-0800271c1b75,,"Seizures, simple, febrile, unspec.","Seizures, simple, febrile, unspec.","Convulsiones, simples, febriles, no especificadas.","Convulsiones, simples, febriles, no especificadas.","Seizures, simple, febrile, unspec.",Misc,N/A,,,,
21835173-4e15-11e4-8a57-0800271c1b75,,Shortness of breath,Shortness of breath,Dificultad para respirar,Dificultad para respirar,Shortness of breath,Misc,N/A,,,,
21880af9-4e15-11e4-8a57-0800271c1b75,,Sickle-cell anemia,Sickle-cell anemia,Anemia falciforme,Anemia falciforme,Sickle-cell anemia,Misc,N/A,,,,
21bdb6cf-4e15-11e4-8a57-0800271c1b75,,Somethingcoming out per vaginum,Somethingcoming out per vaginum,Algo que sale por vaginum,Algo que sale por vaginum,Somethingcoming out per vaginum,Misc,N/A,,,,
21c2aedc-4e15-11e4-8a57-0800271c1b75,,Stomatitis and mucositis,Stomatitis and mucositis,Estomatitis y mucositis.,Estomatitis y mucositis.,Stomatitis and mucositis,Misc,N/A,,,,
21c6e70d-4e15-11e4-8a57-0800271c1b75,,"Sweating, excessive","Sweating, excessive",Sudoración excesiva,Sudoración excesiva,"Sweating, excessive",Misc,N/A,,,,
21cacfb0-4e15-11e4-8a57-0800271c1b75,,Throat pain,Throat pain,Dolor de garganta,Dolor de garganta,Throat pain,Misc,N/A,,,,
220fc2a9-4e15-11e4-8a57-0800271c1b75,,Ulcer of lower limbs,Ulcer of lower limbs,Úlcera de miembros inferiores,Úlcera de miembros inferiores,Ulcer of lower limbs,Misc,N/A,,,,
2216e20d-4e15-11e4-8a57-0800271c1b75,,Vomiting,Vomiting,Vómitos,Vómitos,Vomiting,Misc,N/A,,,,
22479fd3-4e15-11e4-8a57-0800271c1b75,,Walking difficulty,Walking difficulty,Dificultad para caminar,Dificultad para caminar,Walking difficulty,Misc,N/A,,,,
224b7592-4e15-11e4-8a57-0800271c1b75,,Wheezing,Wheezing,Sibilancias,Sibilancias,Wheezing,Misc,N/A,,,,
f901ddee-0bdc-489f-8669-d0a5734449d8,,"Pain, muscular","Pain, muscular",Dolor muscular,Dolor muscular,"Pain, muscular",Misc,N/A,,,,
945211e8-888d-4db4-bb4e-464ef61ea30d,,Cramping,Cramping,Calambres,Calambres,Cramping,Misc,N/A,,,,
8961717d-b30d-46b1-b917-ff5a463fcb51,,Hypertension,Hypertension,Hipertensión,Hipertensión,Hypertension,Misc,N/A,,,,
f610001f-fa24-457e-84fb-5dba316e2d57,,Dysuria,Dysuria,Disuria,Disuria,Dysuria,Misc,N/A,,,,
87027084-7653-43e4-9a85-9cfe048e4133,,Urinary frequency,Urinary frequency,Frecuencia urinaria,Frecuencia urinaria,Urinary frequency,Misc,N/A,,,,
3d78b296-ba44-4612-bcc7-484fafcbb687,,Urinary urgency,Urinary urgency,Urgencia urinaria,Urgencia urinaria,Urinary urgency,Misc,N/A,,,,
4c109838-3437-43a5-a9ca-a66fb88e4117,,Anemia,Anemia,Anemia,Anemia,Anemia,Misc,N/A,,,,
11ca83c4-a2d4-47cb-ae4a-0d33f0ba5703,,Asthma,Asthma,Asma,Asma,Asthma,Misc,N/A,,,,
1e3f1870-b252-4808-8edb-f86fad050ebd,,Diabetes,Diabetes,Diabetes,Diabetes,Diabetes,Misc,N/A,,,,
65021181-98e1-48c1-8dad-d8d6f9a99da0,,Eye itchiness,Eye itchiness,Picazón en los ojos,Picazón en los ojos,Eye itchiness,Misc,N/A,,,,
b2323a83-eb1c-4fd1-a2c5-49aa0100c497,,Eye drainage,Eye drainage,Drenaje de ojos,Drenaje de ojos,Eye drainage,Misc,N/A,,,,
a0996f4b-a821-41e6-becd-341b270bf4ae,,Eye pain,Eye pain,Dolor de ojo,Dolor de ojo,Eye pain,Misc,N/A,,,,
205d8ccf-c5ee-45b3-9181-de633f6a9ef8,,Eye growth,Eye growth,Crecimiento de los ojos,Crecimiento de los ojos,Eye growth,Misc,N/A,,,,
40476852-8e38-4461-8ed6-08ac3c28f1d4,,Blurry vision,Blurry vision,Visión borrosa,Visión borrosa,Blurry vision,Misc,N/A,,,,
f91f8e6a-d2b1-4a18-be37-c0324eadc42f,,Ear pain,Ear pain,Dolor de oído,Dolor de oído,Ear pain,Misc,N/A,,,,
59a11f03-6f26-4434-9458-c7ad12d388a3,,Heavy bleeding,Heavy bleeding,Sangrado abundante,Sangrado abundante,Heavy bleeding,Misc,N/A,,,,
d9915c94-4dbf-4bdc-9dd7-ae05e8571554,,Irregular periods,Irregular periods,Períodos irregulares,Períodos irregulares,Irregular periods,Misc,N/A,,,,
69996690-42dc-40d5-b536-eda4b9a73285,,Vaginal discharge,Vaginal discharge,Secreción vaginal,Secreción vaginal,Vaginal discharge,Misc,N/A,,,,
e1fc0b0c-be48-4ae5-97cd-99ecae6bd6be,,Vaginal itching,Vaginal itching,Picazón vaginal,Picazón vaginal,Vaginal itching,Misc,N/A,,,,
159eb716-1a8c-424e-9980-90a1f96627c5,,Wellness check,Wellness check,Control de bienestar,Control de bienestar,Wellness check,Misc,N/A,,,,
8b7d081b-a42d-42f4-8ac6-96ddffcdfa40,,Lice,Lice,Piojos,Piojos,Lice,Misc,N/A,,,,
529457db-f9ff-44c5-b31b-d495a3da5651,,Sinus tenderness,Sinus tenderness,Sensibilidad de los senos nasales,Sensibilidad de los senos nasales,Sinus tenderness,Misc,N/A,,,,
30e2da8f-34ca-4c93-94c8-d429f22d381c,,Congestion,Congestion,Congestión,Congestión,Congestion,Misc,N/A,,,,
9c996656-8f57-474c-8e4b-b142d4bdb910,,"Pain, unspecified","Pain, unspecified","Dolor, no especificado","Dolor, no especificado","Pain, unspecified",Misc,N/A,,,,
3356aef6-c987-4020-83ff-d1ce1abc7cd0,,Tooth ache,Tooth ache,Dolor de muelas,Dolor de muelas,Tooth ache,Misc,N/A,,,,
54b61665-e2ed-4d33-b6d8-73d3e6e82989,,Tooth infection,Tooth infection,Infección dental,Infección dental,Tooth infection,Misc,N/A,,,,
6fac7d5b-5b63-4ebf-96ec-50f11b8bfda6,,Head trauma,Head trauma,Trauma de la cabeza,Trauma de la cabeza,Head trauma,Misc,N/A,,,,
