Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Fully specified name:es,Short name:es,Description:en,Data class,Data type,Answers,Members,Allow decimals,_version:1,_order:1000,
bb655344-3f10-11e4-adec-0800271c1b75,,CIEL:1074;SNOMED:258706009,Month(s),Month(s),Mes(es),Mes(es),,Misc,N/A,,,,,,
bb62c684-3f10-11e4-adec-0800271c1b75,,CIEL:1822,Hour(s),Hour(s),Hora(s),Hora(s),,Misc,N/A,,,,,,
9d7437a9-3f10-11e4-adec-0800271c1b75,,CIEL:1072;SNOMED:258703001,Day(s),Day(s),Dia(s),Dia(s),,Misc,N/A,,,,,,
bb6436e3-3f10-11e4-adec-0800271c1b75,,CIEL:1073;SNOMED:258705008,Week(s),Week(s),Semana(s),Semana(s),,Misc,N/A,,,,,,
33bc78b1-8a92-11e4-977f-0800271c1b75,,SNOMED:258701004,Minute(s),Minute(s),Minuto(s),Minuto(s),,Misc,N/A,,,,,,
673b88f1-e6fa-4116-b6cf-0bf73dd7f6a8,,CIEL:1734,Year(s),Year(s),Año(s),Año(s),,Misc,N/A,,,,,,
9d735b63-3f10-11e4-adec-0800271c1b75,,,Treatment Duration Units,,,,,ConvSet,N/A,,Day(s);Hour(s);Week(s);Month(s);Minute(s),,,,
9d875aac-3f10-11e4-adec-0800271c1b75,,,Before meals,ac,,,,Misc,N/A,,,,,,
9d8843ed-3f10-11e4-adec-0800271c1b75,,,Empty stomach,Estomac vide,,,,Misc,N/A,,,,,,
9d88ea4d-3f10-11e4-adec-0800271c1b75,,,After meals,pc,,,,Misc,N/A,,,,,,
9d89caea-3f10-11e4-adec-0800271c1b75,,,In the morning,cm,,,,Misc,N/A,,,,,,
9d8a7236-3f10-11e4-adec-0800271c1b75,,,In the evening,Dans la soirée,,,,Misc,N/A,,,,,,
9d8dbcd7-3f10-11e4-adec-0800271c1b75,,,At bedtime,hs,,,,Misc,N/A,,,,,,
9d8f3516-3f10-11e4-adec-0800271c1b75,,,As directed,Comme indiqué,,,,Misc,N/A,,,,,,
9d86785e-3f10-11e4-adec-0800271c1b75,,,Dosing Instructions,Instructions de dosage,,,,ConvSet,N/A,,Before meals;Empty stomach;After meals;In the morning;In the evening;At bedtime;As directed,,,,
9d77abd7-3f10-11e4-adec-0800271c1b75,,,Daily,OD,,,,Frequency,N/A,,,,,,
334ce904-8a92-11e4-977f-0800271c1b75,,,Q4H,Q4H,,,,Frequency,N/A,,,,,,
334dbd41-8a92-11e4-977f-0800271c1b75,,,Q6H,Q6H,,,,Frequency,N/A,,,,,,
334ea16c-8a92-11e4-977f-0800271c1b75,,,Q8H,Q8H,,,,Frequency,N/A,,,,,,
334f851c-8a92-11e4-977f-0800271c1b75,,,Q12H,Q12H,,,,Frequency,N/A,,,,,,
335071ea-8a92-11e4-977f-0800271c1b75,,,Q48H,Q48H,,,,Frequency,N/A,,,,,,
33516e22-8a92-11e4-977f-0800271c1b75,,,Weekly,Weekly,,,,Frequency,N/A,,,,,,
33516e22-8a92-11e4-977f-0800271c1b75,TRUE,,,,,,,,,,,,,,
9d8e6918-3f10-11e4-adec-0800271c1b75,,,Now,STAT,,,,Frequency,N/A,,,,,,
78763e68-104e-465d-8ce3-35f9edfb083d,,,Yes,Yes,sí,sí,,Misc,N/A,,,,,,
f9f633a5-1544-4c44-9394-a7f746a12dff,,,No,No,No,No,,Misc,N/A,,,,,,
2a148983-c143-4649-b4be-f8845c934ec0,,,Nightly,Nightly,,,,Frequency,N/A,,,,,,
c1935955-b2a5-47c2-8e78-1c9a44aeed54,,,Heart failure,,,,,Misc,N/A,,,,,,
c366184c-3f10-11e4-adec-0800271c1b75,,,Registration Fees,Registration Fees,Tarifa de registración,Tarifa de registración,,Misc,Numeric,,,,,,
c3659bf9-3f10-11e4-adec-0800271c1b75,,,Comments,Comments,Comentarios,Comentarios,,Misc,Text,,,,,,
c446af3d-3f10-11e4-adec-0800271c1b75,,,Fee Information,Fee Information,Información de tarifas,Información de tarifas,,ConvSet,N/A,,Registration Fees;Comments,,,,
c2107f30-3f10-11e4-adec-0800271c1b75,,,Uneducated,Uneducated,,,,Misc,Text,,,,,,
f6f948f8-c05d-497f-8047-1667174def3d,,,Secondary and below,Secundario y por debajo,,,,Misc,N/A,,,,,,
75bfd285-3e91-4389-bfb4-216d75828e8b,,,Baccalaureate,Bachillerato,,,,Misc,N/A,,,,,,
52a247b0-5ecb-4540-9f46-895e94922d83,,,University,Universidad,,,,Misc,N/A,,,,,,
e39e71ff-2f12-49ca-a608-a9cc14bb81ae,,,Postgraduate,Post-grado,,,,Misc,N/A,,,,,,
c211442b-3f10-11e4-adec-0800271c1b75,,,5th Pass and Below,5th Pass and Below,,,,Misc,Text,,,,,,
c2139dd9-3f10-11e4-adec-0800271c1b75,,,10th pass,10th pass,,,,Misc,Text,,,,,,
c214d657-3f10-11e4-adec-0800271c1b75,,,12th pass,12th pass,,,,Misc,Text,,,,,,
c22054ce-3f10-11e4-adec-0800271c1b75,,,Graduate and Above,Graduate and Above,,,,Misc,Text,,,,,,
c2084e7b-3f10-11e4-adec-0800271c1b75,,,Education Details,education,,,,Misc,N/A,Uneducated;Secondary and below;Baccalaureate;University;Postgraduate,,,,,
42ff2076-d570-4703-a826-53432386d529,,,"Death Note, Brought dead",Brought dead ?,,,,Misc,Boolean,,,,,,
30e1c728-f008-4dd1-ab34-2c34a00fd3a5,,,Reason For Death,,,,,Misc,N/A,,c1935955-b2a5-47c2-8e78-1c9a44aeed54; 42ff2076-d570-4703-a826-53432386d529,,,,
016ed1d9-8a14-4c21-ad7e-7e78334937eb,,,Our little brothers,Our little brothers,Nuestros Pequenos Hermanos,Nuestros Pequenos Hermanos,,Misc,N/A,,,,,,
52668db9-c5c9-466f-8cb2-3dbdb75be4f1,,,Record Affiliation,Record Affiliation,,,,Question,Coded,Our little brothers,,,,,
eb35a653-e590-44b1-8217-4fd76781b035,,,Married,Married,Casado(a),Casado(a),,Misc,N/A,,,,,,
d2088b2e-8e2c-4a1f-99da-bf5d6257551e,,,Single,Single,Soltero(a),Soltero(a),,Misc,N/A,,,,,,
215e3da5-7a51-4799-9718-4dc84b45d245,,,Widower,Widower,Viudo(a),Viudo(a),,Misc,N/A,,,,,,
7bd32574-05dc-4082-875b-f8aa50189d5d,,,Free Union,Free Union,Unión Libre,Unión Libre,,Misc,N/A,,,,,,
69a11a51-bf87-44b4-87c8-211cbf084e54,,,Divorced,Divorced,Divorciado(a),Divorciado(a),,Misc,N/A,,,,,,
ec0e9904-4982-491b-9fb5-f49d85b40bae,,,Separated,Separated,Separado(a),Separado(a),,Misc,N/A,,,,,,
9fc3f4bd-2f4e-41b8-8e8e-10b0d3e64424,,,Civil Status,Civil Status,Estado Civil,Estado Civil,,Question,Coded,Married;Single;Widower;Free Union;Divorced;Separated,,,,,
32b08438-12d1-46f8-a0b4-29da6488d8ce,,,Profession,Profession,Profesión,Profesión,,Misc,Text,,,,,,
34acbcfd-b5ba-4f1c-90e9-e4b0fbd0b185,,,Currently working,Currently working,Actualmente trabajando,Actualmente trabajando,,Question,Coded,Yes;No,,,,,
784f7b34-e078-4363-8232-6356fb11b6aa,,,Working prior to injury/illness,Working prior to injury/illness,Trabajar antes de una lesión / enfermedad,Trabajar antes de una lesión / enfermedad,,Question,Coded,Yes;No,,,,,
8503cebf-a9d0-4930-b067-13ee69cd50df,,,Type of work,Type of work,Tipo de trabajo,Tipo de trabajo,,Misc,Text,,,,,,
fffbdaf2-cf70-4cde-93dd-55570dabdb37,,,Monthly Salary,Monthly Salary,Salario mensual,Salario mensual,,Misc,Numeric,,,,,,
2c223635-097b-4b1f-a62e-b2a50d723aef,,,Maintenance plan,Maintenance plan,Plan de mantenimiento,Plan de mantenimiento,,Misc,Text,,,,,,
72ac8559-5b5a-4ccd-b34c-e54126adac24,,,Occupation Set,Occupation,Conjunto de ocupación,Ocupación,,Convset,N/A,,Profession;Currently working;Working prior to injury/illness;Type of work;Monthly Salary;Maintenance plan,,,,
3660323f-df93-4b58-938a-c8da6f4e7bc8,,,Adults at home,Adults at home,Adultos en casa,Adultos en casa,,Misc,Numeric,,,,,,
3d1cebab-b936-465b-aaca-c939d8e9ccb2,,,"Minors ",Minors,Menores de edad,Menores de edad,,Misc,Numeric,,,,,,
65bd3dbc-05af-4174-a360-b95a822272fe,,,Total of people,A total of people,Un total de personas,Un total de personas,,Misc,Numeric,,,,,,
7f034c57-320e-4825-9ee0-ca1281a9f609,,,"Working Adults ",Adults Working,Adultos Trabajando,Adultos Trabajando,,Misc,Numeric,,,,,,
c2008162-85ae-42cf-bb1c-f15f908b2642,,,Unemployed people,Unemployed,Desempleados,Desempleados,,Misc,Numeric,,,,,,
9eec0212-3929-4693-af1f-0d59885dce92,,,Studying people,Studying,Estudiando,Estudiando,,Misc,Numeric,,,,,,
2ad15bc8-5a20-47a4-94f5-c8336fb716f0,,,Handicapped people,Handicapped,Discapacitados,Discapacitados,,Misc,Numeric,,,,,,
6c77bf9d-d1e3-4882-ac90-5e859367b81b,,,Retired people,Retired,Jubilados,Jubilados,,Misc,Numeric,,,,,,
1ca04004-cc63-4863-b805-ada8b2b7ce51,,,Family Structure,Family Structure,Estructura familiar,Estructura familiar,,Convset,N/A,,Adults at home;Minors;Total of people;Working Adults;Unemployed people;Studying people;Handicapped people;Retired people,,,,
c239f050-4b02-44c6-b78e-a99f4bc08439,,,Rented,Rented,Alquilada,Alquilada,,Misc,N/A,,,,,,
bdb2b213-41c4-45fa-baac-418826428663,,,Caring for,Caring for,Cuidando,Cuidando,,Misc,N/A,,,,,,
cc259365-b3d9-4fb7-a8ec-5d43004fff3a,,,Paying,Paying,Pagando,Pagando,,Misc,N/A,,,,,,
780be91f-fe52-44e7-9900-7619a021877a,,,Living Status,Living Status,Estado de vida,Vivienda,,Question,Coded,Owned House;Rented;Shared;Caring for;Paying,,,,,
862d39a8-f4c9-4c90-b312-da5f79c3b388,,,Living place,Living place,Vivienda,Vivienda,,Misc,Numeric,,,,,,
ae4620d3-7d7f-4915-a760-3202d274e8c3,,,Water,Water,Agua,Agua,,Misc,Numeric,,,,,,
169b3d81-b212-4393-a046-07f9589ad132,,,Light,Light,Luz,Luz,,Misc,Numeric,,,,,,
0edbfd9e-77f6-4a22-8ff4-8dbe5bf011da,,,Telephone,Telephone,Teléfono,Teléfono,,Misc,Numeric,,,,,,
