Uuid,Privilege name,Description,_order:1000
3aa17386-f47e-4a29-90e3-8623be4616b1,Add HTS Retrospective,Able to add HTS Retrospective,
e31626ee-a111-4cdd-9474-f983238bda4a,Add Pre Test Counselling,Able to add Pre Test Counselling,
3ae1402f-c562-425b-86d7-8b97197d9faa,Add HIV Test,Able to add HIV Test,
3f130189-8615-4ebd-86cb-6c5578da8a9e,Add Post Test Counselling,Able to add Post Test Counselling,
a8fc301c-43cd-4919-9e19-11c6bfdfdc8e,Add Linkage,Able to add Linkage,
52510d32-fbef-417f-8bd3-194f9f5f9436,Add Referral,Able to add Referral,
363a171c-8490-45c2-a967-336231a6abb9,Add Lab Request,Able to add Lab Request,
d991aa93-e424-4558-a5f2-fa203254538c,Add Lab Result,Able to add Lab Result,
2bbb1b9d-0911-4f9b-afb5-d00b51e79586,Edit HTS Retrospective,Able to edit HTS Retrospective,
4c264fff-68ba-494e-a858-51316c9317e0,Edit Pre Test Counselling,Able to edit Pre Test Counselling,
cc3dab0e-84aa-4547-85b4-b01b82e6061e,Edit HIV Test,Able to edit HIV Test,
89abe506-8058-4f8a-9a1b-5238a996670d,Edit Post Test Counselling,Able to edit Post Test Counselling,
ae3457b5-675b-4bbe-b2f6-6d50122cb950,Edit Linkage,Able to edit Linkage,
615445e2-3fee-49a0-bd1c-e548be51782b,Edit Referral,Able to edit Referral,
6f5e36e2-0025-4abe-9401-537263406012,Edit Lab Request,Able to edit Lab Request,
9e26c229-4e1b-4808-9851-37a0905a7a06,Edit Lab Result,Able to edit Lab Result,
f1c3ab56-703c-41f4-8d3c-191b6dc2f6fe,View HTS Retrospective,Able to view HTS Retrospective,
6cdb8e6a-bf74-4ddd-be82-a738bb63acc0,View Pre Test Counselling,Able to view Pre Test Counselling,
04aaef66-02dd-42df-a597-c5b002cc252e,View HIV Test,Able to view HIV Test,
74792919-5992-4867-b367-bd0b6d59e62d,View Post Test Counselling,Able to view Post Test Counselling,
f9add4f4-4e8c-42e1-bd1d-7c834e4beeb4,View Linkage,Able to view Linkage,
58712939-653c-459b-a060-5c3c52fcad23,View Referral,Able to view Referral,
3782d920-d15e-4149-a57c-985ed91f544e,View Lab Request,Able to view Lab Request,
cc2b2cc3-d9ed-4d21-b9cf-e8c99359d0eb,View Lab Result,Able to view Lab Result,
b50f6065-5718-42ed-b36a-009f1c0d5aa9,Delete HTS Retrospective,Able to delete HTS Retrospective,
504247db-d61d-4e5c-99f7-901a62e42e37,Delete Pre Test Counselling,Able to delete Pre Test Counselling,
7b360bf8-62d2-4125-9786-4615e79200a7,Delete HIV Test,Able to delete HIV Test,
40776d62-9bd2-41aa-95ff-a643e3dafee3,Delete Post Test Counselling,Able to delete Post Test Counselling,
a008b080-2d79-42ed-ab8f-3c3c463d9ecd,Delete Linkage,Able to delete Linkage,
436d4541-57da-47ea-8446-e0ce266c7749,Delete Referral,Able to delete Referral,
05598275-9d67-4ef7-8c65-86c607a6fbe1,Delete Lab Request,Able to delete Lab Request,
d61d0b57-ab2c-45db-b126-8a3023710ba3,Delete Lab Result,Able to delete Lab Result,
